,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$79K-$133K (Glassdoor Est.),"As a Data Scientist, you'll utilize advanced quantitative & statistical analysis techniques to drive business model innovation for Via, and work closely with our senior management to help drive decisions.

What You'll Do
Adeptly interpret and utilize mass quantities of data to generate innovative hypotheses & insights, and present these insights to the different stakeholders
Use sophisticated statistical methods to solve problems, leveraging up-to-date academic research and tools
Quantitatively test hypotheses about customer and driver behavior using large sets of proprietary data; leverage results to increase conversion and retention at every touch point
Design and implement novel experiments to better understand current operation as well as expansion to new markets
Who You Are
Obsessed with data; analytical and rigorous, with a thorough understanding of statistics and machine learning
Extraordinary communicator with demonstrated writing and editing skills.
Passionate about elegant visualization; you understand the importance of graphic techniques in communicating a quantitative idea effectively
Have a deep understanding of business concepts within strategy, operations, and marketing
Have a PhD in statistics, machine learning, physics, math, systems biology, or highly quantitative fields in social sciences, including 2+ years of graduate-level research experience (or the equivalent).
Have experience with predictive modeling and statistical analysis techniques in a business environment
Demonstrate mastery in some or all of the following: SQL, Python, R, and Tableau
We're Via, and we build technology that changes the way the world moves. Our guiding principle is simple: we know that the future of transportation is safe, dynamic, shared public mobility the kind that reduces carbon emissions across congested cities, compliments existing transit infrastructure, and provides everyone with accessible, efficient, and affordable ways of getting around. Through intelligently designed operating systems and sophisticated routing algorithms, we build localized and customizable solutions for each and every one of our global partners (100 and counting, last we checked)

Long story short: we're very proud to be championing the transportation evolution of cities around the world and modernizing mobility. Ready to join the ride?

Via offers above market compensation packages and benefits, including equity, health insurance, and relocation assistance.

Via is an equal opportunity employer.",3.7,"Via Transportation
3.7","New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
1,Data Scientist,$79K-$133K (Glassdoor Est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Operators,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI"
2,"Data Scientist, Analytics",$79K-$133K (Glassdoor Est.),"Company Description

As an Etsy employee, you can do the work you love, be yourself, and make an impact in the lives of millions. Our commitments to diversity and inclusion, team culture and the spaces where we work all reflect our mission to keep commerce human.

Job Description

Data scientists at Etsy use rigorous methods to generate insights that inform product, engineering, and business decisions across the company. We collaborate with partner teams through all stages of development: actively uncovering opportunity areas, crafting experiments to test hypotheses, analyzing the impact of our efforts, and highlighting takeaways.

Learning new skills and techniques is not only a requirement but a perk of the job! We are always looking for opportunities to grow. Our mission is to guide our partner teams with data and insights and tell the story of how we attract and retain our users - to teams, to senior management, and to the community.

You would partner closely with our Buying Confidence team, whose focus is optimizing the core shopping experience to connect more buyers with sellers offering just the items they need.

This role is located in Brooklyn, NY and is part of our Analytics and Strategic Finance team.
Transform raw data into impactful analysis characterized by strong data governance/documentation, rigorous techniques, and actionable recommendations.
Partner with product, engineering, design teams; use behavioral and transactional data to shed light on our users and our product experience, identify areas for improvement, and drive decision-making.
Identify actionable metrics to understand the performance of products, develop reporting dashboards to track progress, and ingrain these metrics into teams' day-to-day decision-making.
Lead experimentation, help teams set strong hypotheses, and deliver robust analysis of experiment results.
Continually evaluate and refine your technical toolkit; teach what you learn to the team.
Qualifications
2-3 years experience as an analyst or in a quantitative role in which you extracted meaning from big data sets with little engineering support.
Understand the principles of A/B testing, and love crafting and analyzing experiments.
Proficient in SQL and have familiarity with either R or Python. Bonus points for experience with the Hadoop ecosystem or additional scripting languages (Scala, PHP, Ruby, etc.).
Experience with Looker, Tableau, or other data visualization software a plus.
You look for ways to advance your technical skill set and to apply new methods to impactful questions.
You can communicate your insights verbally, visually, and in writing and care deeply about the quality and integrity of your work.
You want to play a key role on a cross-functional team.
You are passionate about subjects such as experimental design, data visualization, and statistical analysis techniques.
Additional Information

At Etsy, we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skillsets.",3.9,"Etsy
3.9","Brooklyn, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Shops,Retail,₹10 to ₹50 billion (INR),"Airbnb, Warby Parker, Kickstarter"
3,Data Scientist,$79K-$133K (Glassdoor Est.),"A Career with Point72’s MI Data team
At Point72 MI Data, our Data Scientists sift through petabytes of unstructured data from diverse sources to discover trends and insights that help Point72’s Portfolio Managers create new investment theses. We combine an experiment-based approach with the strongest possible management support and the freedom to innovate unencumbered by bureaucracy. We encourage our Data Scientists to imagine the impossible, and provide the structure to bring those ideas to market in months, not years.
What you’ll do
Our Data Scientists conduct research through data mining and statistical modeling to discover insights from Big Data that are used by our investment professionals to make investment decisions. You will have the opportunity to work in a highly collegial environment that emphasizes teaching and learning as a team. In this role, you will:
Tackle the challenges of featurizing and modeling large and unstructured data using machine learning and statistical techniques
Manage all aspects of the research and execution process including methodology selection, data collection and quality, modeling and analysis, and performance monitoring
Deliver research findings to investment teams, portfolio managers, and other internal clients
Work within a team to help drive technical innovation through a collaborative R&D process

What’s required
We look for candidates with extensive knowledge in machine learning, statistical models, and data mining tools, and a proven track record of working with large structured and unstructured data sets to extract timely, actionable insights. Other requirements include:
MS or PhD degree in a quantitative discipline
3+ years of industry working experience in a role that requires advanced statistical analysis
3+ years of hands-on working experience with varied and complex data sets
Strong programming skills in the following languages: SQL, Python (preferred), R, Scala, Spark
Ability to think creatively and see the big picture as well as finer details

We take care of our people
We invest in our people, their careers, their health, and their well-being. We want you to concentrate on success and leave the rest to us. When you work here, we provide:
Fully-paid health care benefits
Generous parental and family leave policies
Mental and physical wellness programs
Tuition assistance
A 401(k) savings program with an employer match and more

About Point72
Point72 Asset Management is a global firm led by Steven Cohen that invests in multiple asset classes and strategies worldwide. Resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. We’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking.",3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
4,"Data Scientist, New Analytic Approaches - Global Research",$79K-$133K (Glassdoor Est.),"Your Role

Are you an empirical social scientist with a track record of extracting information from a few thousand data points, or a few billion? Are you excited by the prospect of working in diverse teams with a broad range of skillsets? Does your head turn if someone asks, ""Now how might we take this hypothesis to data?""

We’re looking for a Research Scientist to:

• apply hypothesis-driven empirical research methods to sell-side equity research
• embed with equity analyst teams for extended consultations to take hypotheses to data
• test hypotheses about how analysts' views respond to new information and data
• develop teaching examples on applying empirical research techniques to the analysis of securities
• help to ingrain replicable statistical computing workflows and habits in the analyst teams
• partner with stakeholders across the company to support a test-learn-redeploy methodology

Your Team

You’ll be working in the New Analytic Approaches (Global Research) team. We are bringing hypothesis-driven empirical methods and enterprise statistical computing practices to sell-side equity research. This is an opportunity to be part of a dynamic, creative, globally distributed team positioned at the center of the top equity research department in the world. As a research scientist, you will be helping to establishing the next frontier of sell-side equity research.

Your Expertise

• Ideally 1-4 years' experience designing and executing hypothesis-driven empirical research projects (research experience gained while earning a degree counts).
• Experience conducting research to inform business decisions would be a major plus.
• Baccaulaureate or Masters' degree with significant training in both empirical methods and social science
• Significant experience or formal training in coding with R or Python, and an ability to work in MS Excel
• Intellectual curiosity and excellent communication skills
• Teaching experience would be a major plus

About Us

Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?

Join us

We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.

Disclaimer / Policy Statements

UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",3.5,"UBS
3.5","New York, NY","Zurich, Switzerland",10000+ employees,1862,Company - Public,Investment Banking & Asset Management,Finance,₹500+ billion (INR),"Deutsche Bank, Credit Suisse, Morgan Stanley"
5,"Data Scientist, Personalization",$79K-$133K (Glassdoor Est.),"About Hungryroot

Hungryroot is an online grocery service that delivers modern, healthy food with recipe and meal planning support. Hungryroot's mission is to help people feel their best by making it easier to shop for, cook, and love healthy food. In addition to offering a curated selection of modern brands, Hungryroot develops its own in-house line of innovative healthy products—like Black Bean Brownie Batter—and is challenging the traditional CPG model by building a customer-driven innovation platform to push outdated American grocery offerings into the 21st century.

About the opportunity

We're hiring a Data Scientist, Personalization to advance the ways that Hungryroot delivers personalized groceries and recipes to customers every week.

Today Hungryroot sends hundreds of thousands of groceries each week to customers across the country, each with their own flavor preferences, dietary restrictions, and food occasion needs. Our algorithm takes in all of these signals and balances them against our inventory of delicious, perishable food products and customers' love for variety in what they eat.

We learn about each customer's taste via explicit signals like their preference for how often they receive an individual item and their star ratings of recipes, as well as implicit signals like their retention and weekly spend. There are big opportunities for advancing the algorithm, including identifying other predictive implicit signals via regressions, collecting new explicit signals from customers, leveraging collaborative filtering, and more.

This role will own personalization end-to-end. We'll look to you to recommend ways of optimizing our algorithm against a goal of customer satisfaction and retention. You'll be responsible for prioritizing research and analyses into what opportunities exist, working with Engineering to test hypotheses, and collaborating with Product, UX Research, and Design when we want to learn from or surface things to our customers.

You'll be joining a team that reports to the VP Product and includes a Product Manager, a Product Designer, a UX Researcher, and a Business Analyst. We all fit within Hungryroot's overall crew of 40 motivated, smart and kind teammates.

Responsibilities include, but are not limited to:
Conduct action-oriented research using statistics and data science methods
Collaborate with Engineering to define, deploy, and report on AB experiments that drive customer retention via personalization
Partner with UX Research to understand user thinking and behavior
Partner with Product and Design to come up with and launch customer-centric ways of collecting new actionable signals
Bring an understanding of best practices in recommendation systems, to both the backend and user-facing frontend
Report on the performance of your work and our personalization algorithm
Requirements:
2+ years in data science, product management,, research, or related role
Data science toolkit including regressions, predictive modeling, R/Python
SQL querying skills
Experience working with engineers and/or designers
Ability to explain complex concepts clearly
Highly detail-oriented and organized
A love of learning and the ability to keep up with a frequently changing environment
Bonus points for:
Startup experience
D2C and/or subscription business experience
A passion for food
Looker/LookML experience
Additional Information:
Based in our Manhattan office just south of Madison Square Park
Reports to our VP Product
Competitive compensation + subsidized health benefits
Unlimited vacation policy
Monthly Hungryroot credit
Universal paid parental leave
A working environment filled with passionate, happy, smart people",5.0,"Hungryroot
5.0","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty & Fitness",Consumer Services,₹1 to ₹5 billion (INR),-1
6,Data Scientist / Engineer,$79K-$133K (Glassdoor Est.),"Snappy is a gifting platform that helps more than 600 mid-size to enterprise level companies over the U.S. sending the gift of choice to their recipients, all over the world - employees, leads, prospects, clients and users.
We built a joyful experience, delivered through email or text message, allowing a recipient to virtually unwrap their gift and choose their favorite product from one of our offered collections.
We’re building an innovation and data exploration team that will help leveraging our so-far collected data to deliver better experience to our clients and help improve inner-business KPIs.

What will you be doing?

• Explore our data to extract new insights and trends
• Build and analyze hypotheses on our data
• Build algorithms to deliver better experience to our clients
• Work closely with Product Managers and R&D to put your work into production
‍
Qualification
‍
• 2 or more years prior industry experience as a data scientist and/or engineer
• Strong communication skills
• Strong, production-level Python experience
• An open mind and the ability to challenge yourself to learn new tools and approaches, independently and as part of a team
• A strong interest in understanding and working with eCommerce data
• Familiarity with big data processing pipelines, databases, and archives
• Familiarity with cloud computing, specifically with AWS or GCP, as well as high-performance computing, including process optimization
• Familiarity with Scrum/Agile project management methodologies

Advantage
‍
• Experience with eCommerce and/or HRIS systems data
• Experience with MQL / SQLAn advanced degree in Computer Science, Applied Math, or a similar technical field
• Knowledge in the machine-learning domain
• Front End development experience

If huge tables of data lights you up and pair-plotting makes you smile, we will add Cashious, Walnuts, all sort of dried fruits and other nuts, High Quality Tested chocolate, fresh music with warm environment and nice people - all to make it much more fun to put the pieces of data together and deliver better experience to our clients.",5.0,"Snappy
5.0","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
7,Data Scientist,$79K-$133K (Glassdoor Est.),"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
8,Data Scientist - Alpha Insights,$79K-$133K (Glassdoor Est.),"Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most challenging economic problems. Our work spans across markets and industries, from insurance and securities to private investments and new ventures.

The Alpha Insights team at Two Sigma is looking for an entrepreneurial data scientist to contribute to its data-driven investment initiatives. Alpha Insights crowdsources the world’s investment insights and through such data creation we are an integral part of Two Sigma investment management process. We interact with people external to the firm to collect and analyze their investment insights through our web and mobile products.

Data science in Alpha Insights has 3 missions: (1) make relevant data and metrics accessible to the team (2) perform analyses to guide business and product decisions and (3) build data-driven features that power our products.

You will take on the following responsibilities:
Deliver metrics and analyses to all functions within Alpha Insights including product, design, and business units
Write ETLs to convert structure/unstructured data into stable data assets
Build visualizations to enable team members to extract relevant insights
Apply statistical analysis and exploratory techniques to enable data-driven decision making
Own data-driven product components (e.g. ranking and recommendation algorithms)

You should possess the following qualifications:
3-5 years of experience in data analysis or similar role
MS or PhD in Computer Science, Statistics, Economics or related, quantitative field
Experience applying statistical methods (distribution analysis, classification, regression, clustering, etc.). Application of these methods to user behavior a plus
Demonstrated experience highlighting innovation, creativity, and intuition, e.g. the ability to laterally identify other sources of useful information and think 'outside the box'
Strong data transformation skills (e.g. using Pandas, R,)
Software engineering skills in at least one imperative programming language
Communication skills to explain metrics/analyses to members of management, engineering, product and business teams.
Prior experience in finance is not required

You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation, sick days, and paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",4.5,"Two Sigma
4.5","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
9,Junior Data Scientist,$79K-$133K (Glassdoor Est.),"SQL
Python, Java, R, or equivalent to develop models
General Knowledge of recommendation systems
Knowledge of ML Models
Knowledge of Statistics
Big Data tools or desire to learn them
Knowledge of Ecommerce/Marketing or desire to learn more about it
Nice to have skills:
Google Cloud Platform
Dataproc
BigQuery
AI Platform
Experience with ETL
Experience with Kafka or similar streaming data platforms",3.3,"Harry and David, LLC
3.3","New York, NY","Medford, OR",501 to 1000 employees,1934,Company - Public,Food & Beverage Shops,Retail,₹10 to ₹50 billion (INR),-1
