,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$120K-$135K (Glassdoor Est.),"Our Mission
We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category, and that’s just the beginning. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution, and other things we haven’t even dreamt up yet. We're out to change behavior and promote mindful living at a societal level. But the key to us being successful in our mission isn’t just about nailing the technology—it’s about hiring the talented people who can help us make a quantifiable impact in the world. We’re growing our world-class team. And that’s where you come in.

The data science team builds the data-driven features of the company.
Requirements for all data scientists
Demonstrable expertise building and supporting machine learning models deployed to production
Expert in Python and core libraries used by data scientists (Numpy, Scipy, Pandas, Scikit-learn, Matplotlib/Seaborn, etc.)
Experience using Jupyter notebooks
Experience working with large or fast moving data sets
Qualified for one of the the specializations below
Specialization: Machine Learning
Scikit-learn expert: This means you have rolled your own transformers and estimators, which you chained together in a pipeline and found optimal hyperparameters via a randomized grid search (or some other method).
Pandas and Numpy expert: You have used pandas enough to run into its rough parts. Very likely you read Wes’ book. You are fluent with Numpy and array oriented programming in general.
Modern techniques: You are deeply familiar with different validation pitfalls, understand how to effectively ensemble several models, and have experimented with different hyperparameter optimization methods.
Modern data: You have built models using unstructured data such as text or images. You have built time series models using econometric approaches as well as machine learning approaches. Deep algorithmic understanding: You know all the nitty-gritty details of your favorite machine learning algorithms.
Specialization: Marketing
Statistical rigor: You should have a solid foundation of the statistics behind standard statistical design methods such as A/B testing and multivariate testing. For example, you should know how to deal with clustering and should be able to determine the standard errors of different statistics through simulation.
Multi-armed bandit models: You know how to implement the technique and how to write a good cost function.
Modern techniques: You can build a model that powers an app that serves a unique arrangement of diverse components to each user such that the specific components served were chosen to maximize the specific user’s probability of selecting a call to action (i.e. using machine learning to identify complex heterogenous treatment effects).
War stories: You must be able to talk about times you ran experiments in a complex environment and what you learned from the effort
Specific experience in marketing optimization is a plus.
Specialization: Insurance
Industry experience: You have solid P&C experience and have had a significant role in building either pricing or underwriting models.
Insurance algorithms: Regulators love GLMs. You must be an expert in GLMs.
Modern tools: Maybe you used SAS in the past, but know you should be comfortable building models with Python.
More details
Salary: We invest in first-rate people and pay top-of-market salaries for most positions, factoring in experience and talent. We do not offer equity.
Benefits: Medical, dental, vision, 401(k), wellness reimbursement, four weeks of vacation + six weeks of parental leave, and great work-life balance. Plus on-site shower and bike stalls, and panoramic views of San Francisco.
Location near Montgomery BART station in the financial district.
Location: San Francisco, CA
To apply for this role, you must complete a simple tech challenge based on the specialization you choose. Each specialization has a unique coding exercise.

Machine Learning simple tech challenge
Marketing simple tech challenge
Insurance simple tech challenge

All are welcome at Blue Owl. We are an equal opportunity and affirmative action employer who values diversity and inclusion and looks for applicants who understand, embrace and thrive in a multicultural world. We do not discriminate on the basis of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.5,"Blue Owl
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
1,Data Scientist,$120K-$135K (Glassdoor Est.),"So, what will you do as a Data Scientist at Notion?
You'll build models to predict things like conversion and likelihood of churn.
You'll build and maintain KPI dashboards that teams rely on for making key decisions.
You'll collaborate with team leads across the business to understand and support their data needs.
You'll build and improve our underlying data infrastructure and tooling. (We currently use DBT, Snowflake, Mode Analytics, Fivetran, Census, Amplitude, Segment, and more).
You might be a fit for this role if...
You've spent meaningful time as a senior data scientist — or even better, you've previously managed a team (there's opportunity to do that here).
You have experience building predictive statistical and machine learning models, and you can build reproducible backtests for proposed models to demonstrate their effectiveness.
You have experience building out data infrastructure which facilitates speed, reliability, and scalability.
You are a SQL expert. You have no problem regularly leveraging window functions, UDFs, self-joins, and other complex SQL functions to accomplish your data analysis goals.
You have a bias for using the right tools to get a job done with maximum efficiency. You are an expert at making tradeoffs between speed and accuracy.
You have strong product sense and user intuition which inform the questions you ask of the data you are analyzing.",5.0,"Notion Labs
5.0","San Francisco, CA","San Francisco, CA",1 to 50 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
2,Data Scientist,$120K-$135K (Glassdoor Est.),"WHO WE ARE


Postmates enables anyone to have just about anything on-demand. We pioneered the on-demand space and currently serve 4200+ cities with a fleet of more than 500,000 Postmates and the largest network of merchants in the US. We're changing the landscape of commerce by making cities our warehouses, providing the delivery infrastructure, and connecting our customers to any product, anywhere, anytime. Postmates isn't just an app, it's a way of life and a part of pop culture. We are the O.G. of on-demand and we've given people a new superpower — the ability to Postmate anything from anywhere. We're building a movement to make Postmates a verb: Postmate it.

WHAT WE DO


Postmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.

As a Data Scientist, you'll use your full toolkit - statistical modeling, machine learning, data mining, data visualization, and software engineering - to develop data products and models that are used by millions of users and power the growth of our business. You will collaborate with a strong team of engineers, product managers and data analysts in defining the frontier of data products and models in the three-sided marketplace. Data scientists will work on how to formulate a model from a real business problem, determine evaluation metrics, evaluate different modeling approaches, conduct data analysis, and build features and algorithms for the various challenging problems at Postmates.

YOUR RESPONSIBILITIES
Modeling and forecasting demand and supply to enable more intelligent matching, optimize the overall marketplace efficiency and provide valuable insights to our merchants and Postmates
Large scale Machine Learning algorithms that powers our Search Ranking models and Personalized Recommendation Engine
Predicting the Postmates Delivery Time (PDT) and improving the dispatching algorithm
Determining the optimal pricing strategies to help our Postmates maximize their revenue
Identifying suspicious transactions and malicious users for risk control
Natural Language Processing to understand text content on Postmates platform, including named entity resolution and recognization of reviews, descriptions and interactions between users on our marketplace
OUR REQUIREMENTS
A Bachelor's/Master's degree (or higher) in a technical field (Computer Science, Statistics, Economics, Operations Research, Math, Physics, Engineering, etc.)
3+ years of professional experience in Data Science or Applied Machine Learning required
A deep theoretical understanding of modern machine learning algorithms, statistical models, or optimization
Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization, and feature engineering
Ability to own your modeling work from model development all the way to production deployment and beyond with minimal help from engineers
Strong communication skills; Explaining complex technical concepts to product managers, data analysts, and other engineers shouldn't be a problem for you
OUR PREFERRED QUALIFICATIONS
Experience with MapReduce, Spark, Hive, HBase, Google BigQuery, and BigTable
Experience with ML frameworks like Tensorflow, PyTorch, Spark MLlib, XGBoost, and Scikit-Learn
YOUR BENEFITS


Postmates has your back. In our impact-first work environment, we value huge company vision. As you strive to build the future with us, we'll support you with:
Competitive salary and generous stock option plan.
Access to the Postmates 401(k) plan.
100% coverage for employees medical, dental, and vision insurance.
95% coverage for dependents medical, dental, and vision insurance.
Pre-tax Flexible Spending Account (FSA) for qualified out-of-pocket health care costs.
Flexible time off policy under which Postmates will not limit paid time off for vacations or to handle personal affairs. (Salaried US Employees)
16 days paid time off and 7 days paid sick leave (Hourly US Employees; amount of paid sick leave depends on state).
3 days paid time to volunteer through CivicLabs and positively impact the communities we serve.
Generous parental leave including flexible transition plans, Postmates meal credit, and subsidized access to the Milk Store, Urban Sitter, and Concern.
Free and confidential counseling resources through an Employee Assistance Program.
Pre-tax Commuter Benefits for parking or transit fees.
A free subscription to Postmates Unlimited.
Catered lunches, open snack bar, and subsidized Postmates Pickup meals.",2.7,"Postmates - Corporate HQ
2.7","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub"
3,Data Scientist,$120K-$135K (Glassdoor Est.),"Formation provides personalization for the largest enterprise businesses in the world. We work with high volume data streams to deliver tailored experiences and orchestrate physical and digital exchanges into a seamless journey. Our Data Science Team is transforming the way people engage across multiple industries.

You'll collaborate closely with engineers and share responsibility throughout the product life-cycle. You'll work in small, self-sufficient teams with a common goal: deliver excellent data science solutions anchored in a culture of quality, delivery, and innovation.

As a Data Scientist at Formation you're capable of working in an agile data science environment to generate and test hypotheses quickly. You're also passionate about improving, optimizing, and developing new reinforcement learning (RL) strategies to enhance the value of our platform.

Key Responsibilities:
Apply RL and statistical analysis to complex, real-world problems through massive data sets
Independently design, test, and productionize RL-based experimentation to refine customer strategies
Collaborate with colleagues in product and customer success roles, sharing responsibility throughout the product life-cycle
Ability to explore an unfamiliar and large data sets with big data tools such as Hive or Spark
Present methodology and results to external stakeholders and Fortune 500 clients
Skills and Experience:
Minimum 2 years experience as a Data Scientist, prior software development experience is a plus
Master's or Ph.D. in a relevant technical field (e.g. Computer Science, Mathematics, Statistics, Physics)
Prior experience with RL frameworks such as TensorFlow or Vowpal Wabbit, and Spark is a plus
Machine learning knowledge with a focus on contextual bandits, reinforcement learning, recommender systems, knowledge of common Data Science concepts related to e-commerce (e.g. lifetime value, net incremental revenue, churn) is a plus
Demonstrated ability to communicate and collaborate with peers
Demonstrated skills in result-driven problem solving
About Formation

Formation is the global leader in developing scalable solutions for individualized offers. We drive business results by building and deepening the relationship between big brands and their customers.

We use artificial intelligence (AI) and machine learning (ML) algorithms to constantly analyze an audience and fine-tune offers. Our approach enables offers to become smarter and more effective with each customer interaction, resulting in a better experience.

Formation strongly believes differing perspectives + passionate discourse achieve the greatest outcomes. We give our whole selves and we are building a team we can learn from. We are committed to inclusion and diversity and we are an equal opportunity employer. All applicants will receive consideration without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, disability, or veteran status.

Also, we are thrilled to be named one of the Top 50 startups by LinkedIn! Every member of our team makes Formation a special place to work and grow. Come join us and see for yourself!",3.1,"Formation
3.1","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
4,"Data Scientist, Transaction Monitoring",$120K-$135K (Glassdoor Est.),"Wish is a mobile e-commerce platform with global reach. Our mission is to give everyone access to the most affordable, convenient, and effective shopping mall in the world. Through the Wish platform, we are creating a relevant, entertaining, and personalized shopping experience for each individual consumer.

We are looking for a Data Scientist who will work cross-functionally with technical and non-technical teams to build models and dashboards to monitor transactions and ensure compliance.

The ideal candidate should be passionate about Wish and e-commerce, has a strong analytical and consultative mindset, deep understanding of databases, visualization, and modeling techniques, and the ability to thrive in a dynamic, fast-paced environment delivering against tight deadlines, and a passion for scaling transaction monitoring through automation.

#LI-BD1
What you will do:
Develop dashboards for transaction monitoring
Create recurring data reports and maintain the integrity of the reports
Design, development and evaluation of highly innovative models for transaction monitoring
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
Work closely with software engineering teams to drive real-time model implementations and new feature creations
Help stakeholders and end-users to best leverage the monitoring system
Develop solutions to optimize transaction monitoring operations
Who you are:
Bachelor's or advanced degree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics or similar)
3+ years of hands-on experience in predictive modeling and analysis
2+ years Python, R, or Matlab experience
2+ years work experience including business analytics and project management
2+ years experience writing complex SQL queries in a business environment
2+ years experience with Tableau, OBIEE or other visualization tools
2+ years experience operating in a Unix/Linux environment
Nice to have:
Experience in e-commerce, on-line, or payments companies in transaction monitoring functions, especially anti-money laundering and counter-terrorist financing (AML/CTF) transaction monitoring
Analytical mindset and ability to see the big picture and influence others
Detail-oriented and must have an aptitude for solving unstructured problems
Ability to work effectively in a multi-task, high volume environment
Ability to be adaptable and flexible in responding to deadlines and workflow fluctuations
Hands-on risk and fraud experience strongly preferred
Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.


Individuals applying for positions at Wish, including California residents, can see our privacy policy here.",3.4,"Wish
3.4","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Shops,Retail,₹100 to ₹500 billion (INR),-1
5,Senior Data Scientist - Underwriting Algorithms,$120K-$135K (Glassdoor Est.),"Faire is using machine learning to change wholesale and help local retailers compete with Amazon and big box stores. Our experienced data scientists and machine learning engineers are tackling recommendations, ranking, search, logistics, underwriting, and more - all with the goal of helping local retail thrive.

Job Description

The Data Science team owns a wide variety of algorithms and models that power the marketplace. We care about building machine learning models that help our customers thrive. The data science team helps answer questions like; How do we underwrite retailers with thin files? How do we optimally assign term limits to Faire retailers? How to minimize the risk of defaults while maximizing the share of wallet growth driven by net terms? What data sources should we invest in to improve the performance of our credit models?

We're looking for someone who's comfortable working on the cutting edge of machine learning research. You're happy working autonomously and delivering results without micromanagement. You wake up ready to take a problem end-to-end, dive into the guts of our information-rich databases, and produce actionable insights. You can't wait to push the boundaries and discover the next big thing, then share it with your peers. You are, or will be, world-class in credit risk and help lead the wider data community. Faire will soon be known as a top destination for data scientists and machine learning, and you will help take us there!

You're excited about this role because
You'll be able to work on cutting edge credit underwriting problems combining a wide variety of data about our retailers, makers and products
You are passionate about solving problems in the FinTech space with innovative machine learning techniques and using alternate data sources for risk management
You want to use machine learning to help local retailers and independent makers succeed
You want to be a foundational member of a fast-growing company
Qualifications
3+ years of industry experience in developing, testing, and validating credit risk models in the financial services industry
Experience applying with either boosted trees models, decision trees, or other models to solve credit underwriting problems
Strong skills in statistics, probability, and/or machine learning
A track record of solving problems using data science. The tooling/language isn't important. (e.g., numpy, pandas, scikit-learn, R, etc.)
Experience with relational databases and SQL
Relentless resourcefulness and the ability to thrive in a startup -- you're willing to do what needs to be done for the success of your team
The ability to self-regulate and get stuff done with minimal direct supervision
Strong communication skills and the ability to work with others in a closely collaborative team environment.
Nice to have:
MSc or PhD in any mathematical or statistical subject, e.g.: mathematics, statistics, computer science, astrophysics, neuroscience, operations research, economics, any of the physical sciences
Experience with capital markets reporting and credit line management is a plus
What We Offer:
We're growing fast. You will get in on the ground floor of something that's going to be special.
We're funded by the best VCs in the world.
Our founding team is experienced and led the development of one of the top 25 apps in the US App Store (Square Cash).
Great technology stack. It's fun to work with the best tools and the latest software.
The business makes sense. It's straightforward, provides clear value to both retailers and makers. You get to help change an entire industry for the better.
It's beautiful. Work on something that's well-designed, following the footsteps of Apple and Square.
About Faire

Faire is an innovative online marketplace that uses machine learning to match local retailers with the makers of products that uniquely fit their stores. We are using the power of technology to connect makers and boutiques from all over the world, building a thriving community of over 50,000 small business owners.

Our mission is to empower entrepreneurs to chase their dreams. We believe entrepreneurship is a calling. It's a way of life that offers people a level of autonomy and fulfillment that's become difficult to find elsewhere in our economy. Most of our customers have left behind jobs they hated to take a chance on themselves. We want to make sure their boldness and self-belief gets rewarded.

This mission also extends to the way we are building the company. Every member of our team is an owner of the business and taking part in the founding process.

Faire is being built for entrepreneurs, by entrepreneurs.",4.3,"Faire
4.3","San Francisco, CA","San Francisco, CA",201 to 500 employees,2016,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,Shopify
6,Data Scientist,$120K-$135K (Glassdoor Est.),"At Wish, our Data Science & Engineering team is comprised of Data Scientists, Data Analysts & Data Engineers who focus on centralizing corporate data in order to gain insights, knowledge and scalability, that empower a proactive and rigorous analysis of key business indicators. Our mission is to derive wisdom from data via the application of Data Science.

Wish has exciting opportunities for talented Data Scientists to form the foundation of our centralized data science team. Successful candidates will have extensive backgrounds in a quantitative fields and s track record of using data to drive the understanding, growth, and the success of a product. As a member of this team, you will be empowered and motivated to drive business impact through data.

As a Data Scientist at Wish, you will:
Apply statistics techniques to improve Wish’s experimentation platform and process.
Apply economics methodologies to understand and improve Wish’s two-sided marketplace.
Apply optimization techniques to improve Wish’s logistics and overall user experiences.
Apply machine learning techniques to improve Wish’s product and operation.
Required Skills & Experience:
Advanced degree in a quantitative field.
A minimum of 3 years of Data Science experience in technology or research industry.
Proficient in Python or R
Preferred skills:
Demonstrated track record of successful projects in applying quantitative techniques to improve a product or business.
5+ years work experience in technology or research industry.
Domain expert in one of the fields: statistics, machine learning, optimization, and economics.
Why Wish:

Wish is transforming the way the world shops by offering a convenient and personalized mobile shopping experience. Our mission is to offer an unlimited selection of affordable quality goods to be accessible for everyone on a global scale. We bring together world-class technical talent with a passion for connecting relevant products to relevant people.

Learn more about us:
Intro to Wish
Our CEO discusses Wish
Crunchbase
Recruiting Video

Wish values diversity and is committed to creating an inclusive work environment. We provide equal employment opportunity for all applicants and employees. We do not discriminate based on any legally-protected class or characteristic. Employment decisions are made based on qualifications, merit, and business needs. If you need assistance or accommodation due to a disability, please let your recruiter know. For job positions in San Francisco, CA, and other locations where required, we will consider for employment qualified applicants with arrest and conviction records.


Individuals applying for positions at Wish, including California residents, can see our privacy policy here.",3.4,"Wish
3.4","San Francisco, CA","San Francisco, CA",501 to 1000 employees,2011,Company - Private,Other Retail Shops,Retail,₹100 to ₹500 billion (INR),-1
7,"Data Scientist, Product Analytics",$120K-$135K (Glassdoor Est.),"As Scale’s first Product Data Scientist, you will lead the charge on building our product analytical infrastructure and driving insights that lead to step-function improvements in how we operate. We handle millions of tasks for businesses looking to scale their ML development, and we’re looking for a talented product data scientist to help us understand it all in the service of building better products. In this role, you will apply statistical models, design and interpret experiments, build mission-critical dashboards, and help structure and order our data in the pursuit of transparency over how we operate and how we can improve.
You will:
Own end-to-end product analytics workflow including formulating success metrics, socializing them across the organization, and creating dashboards/reports.
Ensure product areas are performing in line with our high expectations and be able to identify, diagnose, and recommend projects to improve our performance.
Influence product teams through presentation of data-based recommendations.
Identify operational efficiencies to the business that will enable Scale to continue growing sustainably.
Design, run, and analyze experiments.
Apply statistical models to identify root causes and predict the future performance of tasks, users, and products.
Conduct statistical and trend analysis to identify opportunities, highlight strengths, and provide recommended corrective actions.
Ideally you'd have:
4-6+ years of industry experience in product data science broadly
Strong proficiency in writing complex SQL queries
Mastery with data science tools such as R, and/or Python
Experience with statistical modeling and experimental design
A detail-oriented and analytical mindset, with emphasis on accuracy
About Us:
At Scale, our mission is to accelerate the development of Machine Learning and AI applications across multiple markets. Our first product is a suite of APIs that allow AI teams to generate high-quality ground truth data. Our customers include OpenAI, Zoox, Lyft, Pinterest, Airbnb, nuTonomy, and many more

Scale is an equal opportunity employer. We aim for every person at Scale to feel like they matter, belong, and can be their authentic selves so they can do their best work. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.2,"Scale AI
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
8,Data Scientist,$120K-$135K (Glassdoor Est.),"Thanks to our 15+ million users -- and our network of schools and learning applications -- Clever is a hub of rich, complex data. We use this data every day to help inform product and business decisions, but we know we could be doing so much more. We're looking to you as our first data science hire to join the data team and set the strategy for taking our analytics to the next level. You'll discover actionable insights that directly benefit our customers. This is a hands-on role that will work cross-functionally with stakeholders across the organization to have exceptional impact on our business.

You will:
Create a compelling vision and strategy for how we will use data as we continue to grow
Teach and mentor others around best practices, and help to foster our data-informed culture at Clever
Proactively conduct quantitative research and analysis of Clever's data that results in actionable insights and recommendations
Partner with product managers, engineers, and marketers to translate business insights into decisions and action
You should have:


Minimum 5+ years experience in data science and business analytics with a deep understanding of how data can be used to propel a business forward
Expert in SQL and proficient in programming (R, Python, etc)
Experience using data visualization tools (Tableau, Looker, Chartio, etc)
Ability to communicate clearly and effectively to cross functional partners of varying technical levels
Knowledge of statistics and experimental design
A desire to work in a diverse, highly collaborative team environment",4.6,"Clever
4.6","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,₹1 to ₹5 billion (INR),-1
9,Data Scientist,$120K-$135K (Glassdoor Est.),"Role Description
As a data scientist at Triplebyte, you’ll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.
Fields your work will touch on
Psychometrics
Recommender systems
Time series analysis
Survival analysis
Bayesian inference
Probabilistic programming
This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.

About Triplebyte
Triplebyte is a hiring marketplace used by companies like Apple, Dropbox, Stripe, and Instacart to hire the best technical talent. We are on a mission to build a meritocratic hiring process, and we do all our evaluation background blind. Our ultimate goal is to collect the largest dataset and use this to build the world's best technical hiring process. No other company has successfully done what we're doing in this field.
We are growing extremely quickly, working on a problem that is fundamental, sitting at the crossroads between the workforce and employers. Ten years from now, it'll look silly to use anything other than Triplebyte for technical hiring.
Company Culture
We have a laid-back, friendly office culture. Over lunch you'll often find us discussing the latest in technology, books, and pop culture, and then maybe getting in a quick game of chess or babyfoot (foosball).
Since we're an early-stage company, we move fast, and it's important that each member of our team is able to take ownership of projects by defining problems, brainstorming solutions, and running experiments.",3.6,"Triplebyte
3.6","San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
