,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Senior Principal Data Scientist (Python/R),$212K-$332K (Glassdoor Est.),"Roche Diagnostics has built a new strategic area – Diagnostics Information Solutions (DIS) - charged with creating a modern portfolio of decision support software products that change the way patients are cared for. Our challenge is to bring together complex diagnostic and treatment data from medical devices and IT systems within a hospital and intelligently process and present this data to clinicians, researchers, and caregivers to improve research outcomes and patient care.

As a Senior Principal Data Scientist within the Data Science & Services (DSS) team at DIS, you are responsible for conceptualizing, planning and executing advanced analytics projects to discover key insights improving NAVIFY product portfolio leading to better and more efficient patient care. In close cooperation with other more Scientists you will design and execute advanced analytics projects building on a wide range of commercial and research datasets containing deep medical information.

As a Senior Principal Data Scientist, you will also ensure that design, execution, and presentation of analytical results are adhering to industry standards and potentially improve and redefine current industry standards. You will rely on your oncology expertise, advanced analytical skills, and your ability to interact with cross-functional experts such as biostatisticians, clinical scientists and oncologists, to discover novel insights demonstrating impact of various treatment decisions, and uncover key elements leading to best outcomes for patients. In addition, you will maintain and expand knowledge of available healthcare data sources and applicable state-of-the- art analytical methodologies, large scale data processing and visualization, and languages and tools (R, Python, (no-)SQL, Hadoop, Spark, etc.).

Responsibilities Include:
Drive data science and analytical software development teams; develop solutions to support insight generation facilitating successful development, verification and commercialization of diagnostics services and products.
Contribute to broad product support initiatives, lead and deliver on complex projects, and interact with external partners without supervision.
Maintain and expand knowledge and access to available and meaningful data sources within/outside Roche, and their application to NAVIFY customer needs.
Perform high quality, timely and accurate analyses using most relevant state-of-the-art methodologies, tools and resources.
Committed to offering innovation, finding opportunities to enhance ways of working (including processes, methods, technology etc.) and sharing new techniques and lessons learned pro-actively with peers.
Use and continue to foster strong working relationships with global colleagues and customers and builds a strong network in order to jointly explore vendor relationships, data assets, analytical methodologies and toolsets.
Build and maintain partnerships with other data scientists and analysts, biostatistics, medical and business leaders, and other key functional experts.
Responsible for planning and timely delivery of assigned projects.
Drive creation of best practices to other team members. Proactively share learnings/experience with colleagues both internal and external to the function.
Act as a positive role model for peers and help coach colleagues to improve in their role with both technical and interpersonal skills.
Influence as thought leader in your industry and an influential subject matter expert to your team members and the businesses you support.
Leverage strategic organizational awareness and systems mindset to implement sustainable, science based practices.
Who you are:
Data savvy creative thinker, problem solver and mentor.
Reliable team player, strong collaborator with ability to influence and a thought partner/leader. Organizationally savvy, systems thinker.
Excellent communication skills, effective stakeholder management ability. Life learner, constructive at giving and receiving feedback.
Strong solution finding, resiliency and a sense of ownership; Effective prioritization skills, attention to detail and accuracy; Adaptable, embraces and endorses change.
Minimum Skills and Experience:
Master’s degree (PhD strongly preferred) in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) required plus 16 years of experience; or PhD and 12 years of experience.
Graduate training or experience in biological/medical field is highly preferred.
Strong background in Oncology, either by education or professional experience.
Strong Programming experience with R, Python, and/or other quantitative software.
Strong experience in applying statistical modeling, machine learning, exploratory, and confirmatory data analysis in mid to large volume biomedical data sets.
Experience using big data platforms such as Hadoop (Spark is a plus).
In-depth knowledge of relational database principles and corresponding query language skills (e.g. SQL) is of interest.
Familiarity with regulatory framework and guidelines for pharma/diagnostics products is a plus.
Good knowledge of English in a business environment.
Excellent communication skills with an ability to negotiate successfully; strong influencing skills; self-contained and outgoing approach.
Strong solution finding, prioritization and attention to details skills while embracing/endorsing change.
Roche is an equal opportunity employer.

Research & Development, Research & Development > Modelling & Simulation",4.1,"Roche
4.1","Santa Clara, CA","Basel, Switzerland",10000+ employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹500+ billion (INR),"Novartis, AstraZeneca, Siemens Healthineers"
1,Data Scientist,$212K-$332K (Glassdoor Est.),"About Upstart

Upstart is a leading AI lending platform partnering with banks to expand access to affordable credit. Forbes recently ranked Upstart #12 on its list of ""most promising AI companies in America."" Inc. Magazine also recognized Upstart as one of the Best Workplaces for 2020.

By leveraging Upstart's AI platform, Upstart-powered banks can have higher approval rates and lower loss rates, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart's patent-pending platform is the first to receive a no-action letter from the Consumer Financial Protection Bureau related to fair lending. Upstart is based in San Mateo, California and Columbus, Ohio.

Most Upstarters join us because they connect with our mission of enabling access to effortless credit based on true risk. If you are energized by the impact you can make at Upstart, we'd love to hear from you!

The Role

As a Data Scientist with Upstart, you will have a direct impact on our company's success. Our data science team consists of full-stack generalists as well as specialists in statistical modeling or machine learning. Because our challenges are so new, data scientists at Upstart need strong creative problem-solving skills and the technical background to implement solutions. Our research environment affords team members the opportunity to utilize a variety of statistical and machine learning methods with the freedom and encouragement to pursue alternative approaches to solving problems. Whether developing new products or identifying novel approaches to core models, we are continuously seeking the next big ideas to move our business forward.

Our current Data Scientists summarize some of their favorite aspects of our team as:
Collaborative, intelligent and open team
Mentorship, growth and friendship
Leaders committed to challenging and growing team members
Feeling safe asking for help when it's necessary; feeling trusted to get the job done when it's not
Hiring Profile
Strong academic credentials with a M.S. in Computer Science, Statistics, Data Science or a related field of study with a preference for Ph.D.
Comfort with programming (ideally in Python and R)
Rigorous quantitative background
Predictive modeling experience is preferred
Enthusiasm for and alignment with Upstart's mission and values
Strong sense of intellectual curiosity balanced with humility
Numerically-savvy with ability to operate at a speedy pace",4.0,"Upstart
4.0","San Mateo, CA","San Mateo, CA",201 to 500 employees,2012,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
2,Data Scientist,$212K-$332K (Glassdoor Est.),"CK-12’s mission is to provide free access to open-source content and technology tools that empower students as well as teachers to enhance and experiment with different learning styles, resources, levels of competence, and circumstances.

To achieve this noble and ambitious vision, we at CK-12 are challenging the traditional model of education to transform it dramatically. Technology has opened up lots of opportunities to revolutionize education for the benefit of students, teachers, and parents.

We have chosen to be non-profit so that we can effectively realize our mission and so that we can do the right thing! It also provides us the ability to experiment with big and bold ideas. CK-12 is backed by Vinod Khosla, a renowned technology venture capitalist.

At CK-12, you’ll experience the benefits of working in a dynamic, entrepreneurial, innovative and non-bureaucratic environment where you will get a lot of cool things done than you ever imagined! We are a small group of passionate folks who are determined to disrupt the current form of education. We came together from companies such as Apple, eBay, Amazon, McGraw-Hill, and startups.

Technology is key to scale education and we deeply believe in it. Come develop great solutions on our cloud-based (AWS) AI-first platform delivering rich and interactive content.

Does our mission, people and technologies excite you? If the answer is YES! and you are a great technologist who will challenge status-quo (no order takers please!) by innovating, please come join us! Together, we will change the world!

CORE RESPONSIBILITIES
Extract and Analyse the large volume of data deeply to understand and deduce a wide range of information about our users
Transform these insights into actionable reports (~50% of your time would be involved in this activity)
Anticipate user’s needs based on their past actions, collaborative filters and other data analytics techniques to create highly engaging experiences that increase usage (for new and repeat users) of CK-12 and at the same time increase learning outcomes for our users
Communicate data insights to the team and recommend concrete actions and inferences to the team
Provide technical expertise in statistical analysis, mathematical modeling, data mining/machine learning
Institutionalize user analytics in processes and decision making, both strategic and tactical that will drive to achieve CK-12 mission
Develop a sound understanding of the Education and Ed Tech market, competitive landscape, industry-wide data, and benchmarks, and create yardstick/milestones for the organization to set or beat
Analytics is part of our DNA and whatever features we build (or the ones that are live currently) capture enough meaningful analytics for future data mining
Develop a strong understanding of K-12 content, pedagogies, student learning habits to analyze and inform about content and product effectiveness
Develop a strong understanding of teacher and student needs, desires and workflows to inform data analytics and analysis
Have fun while driving innovation through data by challenging the status quo in education and learning and providing creative data-based solutions
REQUIREMENTS
5+ years of experience as a Data Scientist
Proficiency in SQL or NoSQL and handling large and messy datasets
Proficiency in data visualization software and/or libraries (e.g. Tableau, Periscope, matplotlib, etc)
Proficiency in Pandas, SAS, R, Matlab or other analytics/data mining package
Experience with mathematical, statistical, and scientific modeling skills
Experience in segmentation building, predictive analytics, and statistical modeling
Adept at problem-solving using both textbook methods and novel viewpoints
Able to work in tandem with business partners and engineering to formulate and solve tractable projects
Able to translate high-level directions into practical projects and lead/drive their completion with minimal supervision
Be a data enthusiast and a data skeptic; we need both.
Excellent interpersonal, written, and verbal communication skills
Bachelor’s or Master’s degree in Computer Science or quantitative discipline
Able to look outside the organization for new datasets and formulate best practices and metrics to showcase CK-12 capabilities
ADDITIONAL DESIRED SKILLS
Experience with NoSQL platforms, especially MongoDB (a huge plus)
Experience with data engineering (Map Reduce platforms, data pipelining, etc)
Experience at EdTech company or K-12 Educational landscape
HOW TO APPLY

Submit your resume to ml@ck12.org with “Data Scientist” in the subject line.
It is a full-time position at our office in Palo Alto, CA (no telecommuting)
The applicant must be authorized to work in the US for any employer",4.1,"CK-12 Foundation
4.1","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2007,Company - Private,Primary & Secondary Education,Education,Unknown / Non-Applicable,-1
3,Data Scientist,$212K-$332K (Glassdoor Est.),"About Netskope

Today, there's more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.

Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive. Visit us at netskope.com/company/careers and follow us on Twitter @Netskope and Facebook.

Data Scientist


Within Netskope Engineering, the Security Services organization is responsible for building core security products and features, such as Data Loss Prevention, Malware and Threat Prevention, Cloud Confidence Index, Breach and Anomaly Detection. We apply Artificial Intelligence and Machine Learning technologies across Netskope cloud security platform. We are looking for talented data scientists with security domain knowledge. A successful candidate has deep technical expertise in applying AI/ML technologies in security applications and/or adjacent domains, ideally has been through the entire lifecycle of an award winning security product, and must be passionate about cloud security. You will have the opportunity to work with a team of talented engineers, researchers and data scientists to solve the most challenging cloud security problems.

Responsibilities:
Identify strong AI/ML use cases in cloud security, data security and adjacent domains, leveraging Netskope's rich set of data sources;
Define scalable data acquisition and labeling strategy for specific use cases;
Work with data engineers to retrieve, clean and normalize data. Ensure scalable and continuous high-quality data stream;
Work closely with threat research and development team in feature engineering. Make sure high-quality feature sets are chosen in a systematic way;
Select ML models for defined use cases. Implement KPIs to ensure optimal algorithms and results;
Conduct strict internal testing to ensure high efficacy, low false positive and false negative rate;
Interpret results and communicate findings;
Document use case, data acquisition, feature engineering, training, validation, deployment, future improvement opportunity and other important aspects;
Work closely with development and QE team in productization;
Be an evangelist of AI/ML within Netskope. Promote AI/ML wherever applicable, beyond security use cases;
Collaborate with data analytics team to define new platform requirements and continuously improve our horizontally scalable data lake.
Qualifications/Requirements:


First of all, must have true startup spirit. Be willing to wear multiple hats and deliver end-to-end;
Ability of thinking out-of-box and evaluating results based on customer value;
5+ years of industry experience in applying AI/ML, preferably on well-known security products or services, such as malware detection, anomaly detection, security analytics and data security;
Experience of applying AI/ML in more than one domains highly desirable;
Hands-on experience with relevant technology stacks such as CUDA, Python, R, Spark, Flink, Tensorflow;
Hands-on experience using modern big data pipeline;
Natural language process (NLP) and data mining experience highly desirable;
Security research experience and strong security domain knowledge highly desirable;
Energetic self-starter, with the desire to work in a dynamic fast-paced environment;
Excellent verbal and written communication skills;
Ability to influence without authority
Education:


PhD in Computer Science, Statistics, Electrical Engineering or equivalent technical degree.
#LI-NW1",4.3,"Netskope
4.3","Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
4,Data Scientist 1,$212K-$332K (Glassdoor Est.),"We are looking to hire an analytics & insights Data Scientist to partner with the eBay core product team. As a critical member of the Product Insights team, this leader will have the unique opportunity to influence decision making of the Buyer experience roadmap with their insights and thought leadership.

With a vision to identify opportunities to drive transformative change in the customer experience and result in significant business growth, we mine the largest datasets in the world of e-Commerce and use best in class analytic and big data techniques to extract impactful insights. We achieve this by partnering closely with the product and engineering teams, and identify opportunities that are accretive to the product roadmaps.

To be successful in this role:
You would have to strike a balance between strategic thinking and actual hands-on analyses using tools & packages such as SQL, R, Python, Tableau etc.
You possess super strong technical skills to turn big data in Teradata and Hadoop into actionable insights. At the same time, you also have the ability to think about the big picture and connect the dots to evaluate how the insights impact eBays ecosystem.
In addition to delivering insights on existing Product & Tech initiatives, you will come up with innovative product growth opportunities based on insights, and create momentum through influence.
Proactive collaboration and effective communication are critical
Additionally, the following background and experience is preferred:
Proven track record of turning insights into product growth opportunities in prior roles with increasing scope and responsibilities
Ability to present complex analyses and insights effectively in simple terms
Good experience with both descriptive and inferential statistics ability to build basic prototype models
Experience in a leading technology company
Background in ecommerce product experience
Strong quantitative background with Bachelors degree in Computer Science, Math, Economics, Physics, Engineering, or related. Masters degree is a plus.
Experience with site experimentation (A/B testing) is a plus
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.6,"eBay
3.6","San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Amazon, Apple"
5,Staff Data Scientist,$212K-$332K (Glassdoor Est.),"Western
Digital
The next big thing in data is you!

JOB DESCRIPTION SUMMARY:

Digital Analytics Office (DAO) is looking for software engineer to focus on building production ready machine learning analytical solutions. The role is expected to specialize in designing and architecting complex Machine Learning models in production environments. Ideal candidate should be a software engineering expert who would build complex software analytics applications that provide end-to-end architecture, design, development and maintenance of these large scale systems.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Design and architect End-to-End platform/system for customer analytical needs.
Designing and testing complex Machine Learning models.
Fast pace agile prototyping of solutions.
Interact with business users to understand their analytics needs & requirements for designing the most optimal solution efficiently.

REQUIRED SKILLS & CHARACTERISTICS:
Master’s Degree or PhD in Computer Science or Software Engineering.
Proficient in computer science fundamentals, algorithms & data structures.
Proficient in programming languages like Java & Python.
Knowledge of Microservices architecture, API development, REST services, service oriented architecture (SOA) & web application development.
Experience with Database Technologies (SQL/NoSQL) & Big Data Technologies (Hadoop, Hive).
Experience with Cloud Platforms like AWS and Azure.
Familiar with working in an agile software development framework with test driven development approaches.
Expertise in Machine Learning Techniques such as Logistic Regression, Naïve Bayes, neural networks, various classification and clustering algorithms, deep learning etc.
Able to work with big data systems (Hive, Hadoop, HQL, Hbase, Presto) & cloud technologies (AWS Redshift, DynamoDB).
Strong interest in problem solving, taking ambiguously defined problem and articulating clear problem statements.


ABOUT
WESTERN DIGITAL

The
future. It’s on you. You & Western Digital.

We’ve been storing the world’s data for more than 50 years. Once,
it was the most important thing we could do for data. Now we’re helping the
world capture, preserve, access and transform data in a way only we can.

The most game-changing companies,
consumers, professionals, and governments come to us for the technologies and
solutions they need to capture, preserve, access, and transform their data.

But we can’t do it alone. Today’s
exceptional data challenges require your exceptional skills. It’s You & Us.
Together, we’re the next big thing in data.

Western Digital® data-centric solutions are found under the
G-Technology™, HGST, SanDisk®, Tegile™, Upthere™, and WD® brands.
Western Digital is an equal opportunity employer.

Western Digital does not discriminate on the basis of race,
color, ancestry, religion (including religious dress and grooming standards),
sex (including pregnancy, childbirth or related medical conditions,
breastfeeding or related medical conditions), gender (including a person’s gender
identity, gender expression, and gender-related appearance and behavior,
whether or not stereotypically associated with the person’s assigned sex at
birth), age, national origin, sexual orientation, medical condition, marital
status (including domestic partnership status), physical disability, mental
disability, medical condition, genetic information, protected medical and
family care leave, Civil Air Patrol status, military and veteran status, or
other legally protected characteristics. We also prohibit harassment of any
individual on any of the characteristics listed above. Our non-discrimination
policy applies to all aspects of employment. We comply with the laws and
regulations set forth in the ""Equal
Employment Opportunity is the Law"" poster.

Federal and state laws require employers to provide reasonable accommodation to
qualified individuals with disabilities. Please tell us if you
require a reasonable accommodation to apply for a job or to perform your
job. Examples of reasonable accommodation include making a change to
the application process or work procedures, providing documents in an alternate
format, using a sign language interpreter, or using specialized equipment. If
you need any accommodation or assistance with our career site, please contact
us at staffingsupport@wdc.com.

Western Digital participates in the E-Verify program in the US.
For more information click here. Este empleador participa in E-Verify.

#LI-JS1",3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"Seagate Technology, Toshiba"
6,Data Scientist — Risk,$212K-$332K (Glassdoor Est.),"Data Scientist — Risk
Mountain ViewR&DExperienced
Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy.

Key Responsibilities：
Work with engineers to design machine learning solutions for anti-abuse systems
Partner with operatives to quickly respond to rapidly evolving threats
Qualifications
Minimum Requirements：
BS degree in Computer Science, Computer Engineering, Electrical Engineering or other relevant majors with 2+ year of work experience
Solid technical / data-mining skills and ability to work with large volume data to detect and identify abusive actions in Bytedance products (e.g. TikTok)
Ability to think critically and to formulate solutions to problems in a clear, concise and timely manner
2+ years of industry experience in predictive analytics and/or statistical modeling role
Apply
Share to",4.1,"TikTok
4.1","Mountain View, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
7,"Data Scientist, Finance",$212K-$332K (Glassdoor Est.),"Zoom is an award-winning workplace. We have been recognized by Comparably as #1 CEO, Company Happiness, Benefits, Compensation, Diversity, and more! Not to mention we’ve been awarded by Glassdoor as the 2nd Best US workplace & Best Large Company US CEO in 2018, Wealthfront, and Business Insider. Our culture focuses on delivering happiness, our commitment to transparency, and the tangible benefits we provide our employees and our customers.

RESPONSIBILITIES:
Develop analytical frameworks for future strategic initiatives and provide recommendations to senior management to drive business decisions
Build and maintain various financial performance (example: revenue) and reconciliation models to support the financial reporting
Analyze and interpret huge data sets to improve predictability of key financial metrics for tracking and supporting strategic decisions
Support revenue reporting, billing, and finance operations initiatives in planning, execution and impact measuring
Work with the Finance and Accounting SMEs in the different areas of Finance and have a good understanding of the business, and the information flow
Perform variance analyses against critical benchmarks to identify the root cause behind trends
Build/modify/maintain dashboards and reports to regularly communicate results and monitor key metrics in scalable ways
Write efficient SQL and Python (numpy + pandas) code to fuel analytical frameworks and dashboards mentioned above
Become a subject matter expert on Finance operations data and play instrumental roles in supporting strategic initiatives
REQUIREMENTS:
Bachelor’s Degree in Business/Economics, STEM (Science, Technology, Engineering, Mathematics) Degrees or similar fields, finance background preferred
5+ years of experience using data to facilitate business decisions; high growth, technology (B2B SaaS is a plus), management consulting, Big4 Accounting, or business intelligence background preferred
Excellent Excel and SQL skills with development experience in Python
Inherently curious and believe in the power of data to drive decisions
Strong communication and organization skills
Self-driven with the ability to work in a self-guided manner",4.7,"Zoom Video Communications
4.7","San Jose, CA","San Jose, CA",1001 to 5000 employees,2011,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
8,"Behavioral Data Scientist, Health Strategic Initiatives",$212K-$332K (Glassdoor Est.),"Posted: Apr 17, 2020
Weekly Hours: 40
Role Number:
200164602
Have you ever wanted to work on something that really matters? Is it important to you to help others live longer, more fulfilling lives? The Health Strategic Initiatives team is focused on just that — enabling individuals to live a healthier, happier life through personalized and compelling products. We are an experienced team of business leaders, doctors, designers, PMs, and data scientists. We work in a collaborative and dynamic environment where we are constantly pushing ourselves to redefine the industry and create delightful user experiences.

Data is central to the success of our team. We work in a tight feedback loop where data insights drive feature development and design as well as defining future strategy and products. As a behavioral data scientist on the team you will explore behavior change, causal impact of product features on outcomes, incentives, and other behavior related questions across the various programs we have launched.
Key Qualifications
5+ years as an analyst or data scientist working in the behavioral science space
Expertise working in Hadoop, Spark, SQL, Python or R
Strong product, data, and analytics intuition
Intensely curious about data and love finding hidden relationships and patterns
Passionate about health, behavioral economics, behavior change, and causal methods
Strong cross-functional experience working with product, business, design, and engineering teams
Strong interpersonal skills
Proven experience boiling down technical approaches and complex findings into simple and compelling narratives that drive change
Description
As a key member of the Health Strategic Initiatives team you will work hand in hand with product and design teams testing hypotheses by diving into consumer and product data. You will have the opportunity to work on a wide variety of fascinating problems. A few areas you may explore include measuring behavior change, quantifying the impact of incentives, exploring the impact of features on consumer behavior, experimental design and causal analysis, predicting outcomes, and cohort analysis. This is the perfect intersection of analytics, health, and behavior change.
Education & Experience
Masters (PhD preferred) in Economics, Neuroscience, Psychology, Statistics, Computer Science, Mathematics, Engineering or equivalent and 5+ years of experience",4.1,"Apple
4.1","Santa Clara, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"Google, Microsoft, Samsung Electronics"
9,Data Scientist,$212K-$332K (Glassdoor Est.),"At Waymo, we're focused on bringing self-driving technology to the world. Our mission is to make it safe and easy for people and things to move around. Today, our driverless cars are serving our first customers with no drivers behind the wheel. To experience our self-driving technology, see this 360-degree video.

In this data science role, you will:
Safety evaluation is of fundamental importance to Waymo, and measuring it is subtle. This role works with a wide variety of teams across the company (onboard software engineering, product, safety, systems engineering) to evaluate the driving and safety performance of Waymo's self driving car. This is based on a wide variety of data from real and simulated driving from Waymo's self-driving system as well as from external data sources.
The Planner Team is responsible for ""motion planning"" for the self driving car. This includes gracefully handling many complex situations involving social interactions (merging, negotiating narrow roads, etc), while dealing with a noisy and uncertain environment. Evaluation of this onboard decision-making system is a complex, open-ended problem with tremendous potential impact. The quality of the road maneuvers we execute is subjective, contextual, and geometrically subtle, and evaluation needs apply to a wide variety of conditions with an extremely long tail.
Additionally:
Analysis and improvement of existing data sources and metrics
Development of novel approaches to measuring and improving
Self-driving performance (either generally, or for motion planning specifically)
Collaborate with engineers and other data scientists to evaluate and improve core
Waymo technologies, with a focus on bringing statistical depth, general analytical rigor, and accurate causal interpretation of data.
We'd like you to have:
PhD in statistics, math, or other quantitative area
Progressive statistics background either in academia or industry
Data science and system evaluation experience
Willingness to understand a complex system and its various components
Experience with tools for manipulating big data
Experience with R/Python and statistical libraries
It's preferred if you have experience in:
Experience with C++
Familiarity with Spark/MapReduce
Training or interest in geometry or classical physics",3.1,"Waymo
3.1","Mountain View, CA","Mountain View, CA",Unknown,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
