,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Senior Principal Data Scientist (Python/R),$212K-$332K (Glassdoor Est.),"Roche Diagnostics has built a new strategic area – Diagnostics Information Solutions (DIS) - charged with creating a modern portfolio of decision support software products that change the way patients are cared for. Our challenge is to bring together complex diagnostic and treatment data from medical devices and IT systems within a hospital and intelligently process and present this data to clinicians, researchers, and caregivers to improve research outcomes and patient care.

As a Senior Principal Data Scientist within the Data Science & Services (DSS) team at DIS, you are responsible for conceptualizing, planning and executing advanced analytics projects to discover key insights improving NAVIFY product portfolio leading to better and more efficient patient care. In close cooperation with other more Scientists you will design and execute advanced analytics projects building on a wide range of commercial and research datasets containing deep medical information.

As a Senior Principal Data Scientist, you will also ensure that design, execution, and presentation of analytical results are adhering to industry standards and potentially improve and redefine current industry standards. You will rely on your oncology expertise, advanced analytical skills, and your ability to interact with cross-functional experts such as biostatisticians, clinical scientists and oncologists, to discover novel insights demonstrating impact of various treatment decisions, and uncover key elements leading to best outcomes for patients. In addition, you will maintain and expand knowledge of available healthcare data sources and applicable state-of-the- art analytical methodologies, large scale data processing and visualization, and languages and tools (R, Python, (no-)SQL, Hadoop, Spark, etc.).

Responsibilities Include:
Drive data science and analytical software development teams; develop solutions to support insight generation facilitating successful development, verification and commercialization of diagnostics services and products.
Contribute to broad product support initiatives, lead and deliver on complex projects, and interact with external partners without supervision.
Maintain and expand knowledge and access to available and meaningful data sources within/outside Roche, and their application to NAVIFY customer needs.
Perform high quality, timely and accurate analyses using most relevant state-of-the-art methodologies, tools and resources.
Committed to offering innovation, finding opportunities to enhance ways of working (including processes, methods, technology etc.) and sharing new techniques and lessons learned pro-actively with peers.
Use and continue to foster strong working relationships with global colleagues and customers and builds a strong network in order to jointly explore vendor relationships, data assets, analytical methodologies and toolsets.
Build and maintain partnerships with other data scientists and analysts, biostatistics, medical and business leaders, and other key functional experts.
Responsible for planning and timely delivery of assigned projects.
Drive creation of best practices to other team members. Proactively share learnings/experience with colleagues both internal and external to the function.
Act as a positive role model for peers and help coach colleagues to improve in their role with both technical and interpersonal skills.
Influence as thought leader in your industry and an influential subject matter expert to your team members and the businesses you support.
Leverage strategic organizational awareness and systems mindset to implement sustainable, science based practices.
Who you are:
Data savvy creative thinker, problem solver and mentor.
Reliable team player, strong collaborator with ability to influence and a thought partner/leader. Organizationally savvy, systems thinker.
Excellent communication skills, effective stakeholder management ability. Life learner, constructive at giving and receiving feedback.
Strong solution finding, resiliency and a sense of ownership; Effective prioritization skills, attention to detail and accuracy; Adaptable, embraces and endorses change.
Minimum Skills and Experience:
Master’s degree (PhD strongly preferred) in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) required plus 16 years of experience; or PhD and 12 years of experience.
Graduate training or experience in biological/medical field is highly preferred.
Strong background in Oncology, either by education or professional experience.
Strong Programming experience with R, Python, and/or other quantitative software.
Strong experience in applying statistical modeling, machine learning, exploratory, and confirmatory data analysis in mid to large volume biomedical data sets.
Experience using big data platforms such as Hadoop (Spark is a plus).
In-depth knowledge of relational database principles and corresponding query language skills (e.g. SQL) is of interest.
Familiarity with regulatory framework and guidelines for pharma/diagnostics products is a plus.
Good knowledge of English in a business environment.
Excellent communication skills with an ability to negotiate successfully; strong influencing skills; self-contained and outgoing approach.
Strong solution finding, prioritization and attention to details skills while embracing/endorsing change.
Roche is an equal opportunity employer.

Research & Development, Research & Development > Modelling & Simulation",4.1,"Roche
4.1","Santa Clara, CA","Basel, Switzerland",10000+ employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹500+ billion (INR),"Novartis, AstraZeneca, Siemens Healthineers"
1,Staff Data Scientist,$212K-$332K (Glassdoor Est.),"Western
Digital
The next big thing in data is you!

JOB DESCRIPTION SUMMARY:

Digital Analytics Office (DAO) is looking for software engineer to focus on building production ready machine learning analytical solutions. The role is expected to specialize in designing and architecting complex Machine Learning models in production environments. Ideal candidate should be a software engineering expert who would build complex software analytics applications that provide end-to-end architecture, design, development and maintenance of these large scale systems.

ESSENTIAL DUTIES AND RESPONSIBILITIES:
Design and architect End-to-End platform/system for customer analytical needs.
Designing and testing complex Machine Learning models.
Fast pace agile prototyping of solutions.
Interact with business users to understand their analytics needs & requirements for designing the most optimal solution efficiently.

REQUIRED SKILLS & CHARACTERISTICS:
Master’s Degree or PhD in Computer Science or Software Engineering.
Proficient in computer science fundamentals, algorithms & data structures.
Proficient in programming languages like Java & Python.
Knowledge of Microservices architecture, API development, REST services, service oriented architecture (SOA) & web application development.
Experience with Database Technologies (SQL/NoSQL) & Big Data Technologies (Hadoop, Hive).
Experience with Cloud Platforms like AWS and Azure.
Familiar with working in an agile software development framework with test driven development approaches.
Expertise in Machine Learning Techniques such as Logistic Regression, Naïve Bayes, neural networks, various classification and clustering algorithms, deep learning etc.
Able to work with big data systems (Hive, Hadoop, HQL, Hbase, Presto) & cloud technologies (AWS Redshift, DynamoDB).
Strong interest in problem solving, taking ambiguously defined problem and articulating clear problem statements.


ABOUT
WESTERN DIGITAL

The
future. It’s on you. You & Western Digital.

We’ve been storing the world’s data for more than 50 years. Once,
it was the most important thing we could do for data. Now we’re helping the
world capture, preserve, access and transform data in a way only we can.

The most game-changing companies,
consumers, professionals, and governments come to us for the technologies and
solutions they need to capture, preserve, access, and transform their data.

But we can’t do it alone. Today’s
exceptional data challenges require your exceptional skills. It’s You & Us.
Together, we’re the next big thing in data.

Western Digital® data-centric solutions are found under the
G-Technology™, HGST, SanDisk®, Tegile™, Upthere™, and WD® brands.
Western Digital is an equal opportunity employer.

Western Digital does not discriminate on the basis of race,
color, ancestry, religion (including religious dress and grooming standards),
sex (including pregnancy, childbirth or related medical conditions,
breastfeeding or related medical conditions), gender (including a person’s gender
identity, gender expression, and gender-related appearance and behavior,
whether or not stereotypically associated with the person’s assigned sex at
birth), age, national origin, sexual orientation, medical condition, marital
status (including domestic partnership status), physical disability, mental
disability, medical condition, genetic information, protected medical and
family care leave, Civil Air Patrol status, military and veteran status, or
other legally protected characteristics. We also prohibit harassment of any
individual on any of the characteristics listed above. Our non-discrimination
policy applies to all aspects of employment. We comply with the laws and
regulations set forth in the ""Equal
Employment Opportunity is the Law"" poster.

Federal and state laws require employers to provide reasonable accommodation to
qualified individuals with disabilities. Please tell us if you
require a reasonable accommodation to apply for a job or to perform your
job. Examples of reasonable accommodation include making a change to
the application process or work procedures, providing documents in an alternate
format, using a sign language interpreter, or using specialized equipment. If
you need any accommodation or assistance with our career site, please contact
us at staffingsupport@wdc.com.

Western Digital participates in the E-Verify program in the US.
For more information click here. Este empleador participa in E-Verify.

#LI-JS1",3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"Seagate Technology, Toshiba"
2,Data Scientist 1,$212K-$332K (Glassdoor Est.),"We are looking to hire an analytics & insights Data Scientist to partner with the eBay core product team. As a critical member of the Product Insights team, this leader will have the unique opportunity to influence decision making of the Buyer experience roadmap with their insights and thought leadership.

With a vision to identify opportunities to drive transformative change in the customer experience and result in significant business growth, we mine the largest datasets in the world of e-Commerce and use best in class analytic and big data techniques to extract impactful insights. We achieve this by partnering closely with the product and engineering teams, and identify opportunities that are accretive to the product roadmaps.

To be successful in this role:
You would have to strike a balance between strategic thinking and actual hands-on analyses using tools & packages such as SQL, R, Python, Tableau etc.
You possess super strong technical skills to turn big data in Teradata and Hadoop into actionable insights. At the same time, you also have the ability to think about the big picture and connect the dots to evaluate how the insights impact eBays ecosystem.
In addition to delivering insights on existing Product & Tech initiatives, you will come up with innovative product growth opportunities based on insights, and create momentum through influence.
Proactive collaboration and effective communication are critical
Additionally, the following background and experience is preferred:
Proven track record of turning insights into product growth opportunities in prior roles with increasing scope and responsibilities
Ability to present complex analyses and insights effectively in simple terms
Good experience with both descriptive and inferential statistics ability to build basic prototype models
Experience in a leading technology company
Background in ecommerce product experience
Strong quantitative background with Bachelors degree in Computer Science, Math, Economics, Physics, Engineering, or related. Masters degree is a plus.
Experience with site experimentation (A/B testing) is a plus
This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement",3.6,"eBay
3.6","San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Amazon, Apple"
3,Data Scientist — Risk,$212K-$332K (Glassdoor Est.),"Data Scientist — Risk
Mountain ViewR&DExperienced
Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy.

Key Responsibilities：
Work with engineers to design machine learning solutions for anti-abuse systems
Partner with operatives to quickly respond to rapidly evolving threats
Qualifications
Minimum Requirements：
BS degree in Computer Science, Computer Engineering, Electrical Engineering or other relevant majors with 2+ year of work experience
Solid technical / data-mining skills and ability to work with large volume data to detect and identify abusive actions in Bytedance products (e.g. TikTok)
Ability to think critically and to formulate solutions to problems in a clear, concise and timely manner
2+ years of industry experience in predictive analytics and/or statistical modeling role
Apply
Share to",4.1,"TikTok
4.1","Mountain View, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
4,"Data Scientist, Finance",$212K-$332K (Glassdoor Est.),"Zoom is an award-winning workplace. We have been recognized by Comparably as #1 CEO, Company Happiness, Benefits, Compensation, Diversity, and more! Not to mention we’ve been awarded by Glassdoor as the 2nd Best US workplace & Best Large Company US CEO in 2018, Wealthfront, and Business Insider. Our culture focuses on delivering happiness, our commitment to transparency, and the tangible benefits we provide our employees and our customers.

RESPONSIBILITIES:
Develop analytical frameworks for future strategic initiatives and provide recommendations to senior management to drive business decisions
Build and maintain various financial performance (example: revenue) and reconciliation models to support the financial reporting
Analyze and interpret huge data sets to improve predictability of key financial metrics for tracking and supporting strategic decisions
Support revenue reporting, billing, and finance operations initiatives in planning, execution and impact measuring
Work with the Finance and Accounting SMEs in the different areas of Finance and have a good understanding of the business, and the information flow
Perform variance analyses against critical benchmarks to identify the root cause behind trends
Build/modify/maintain dashboards and reports to regularly communicate results and monitor key metrics in scalable ways
Write efficient SQL and Python (numpy + pandas) code to fuel analytical frameworks and dashboards mentioned above
Become a subject matter expert on Finance operations data and play instrumental roles in supporting strategic initiatives
REQUIREMENTS:
Bachelor’s Degree in Business/Economics, STEM (Science, Technology, Engineering, Mathematics) Degrees or similar fields, finance background preferred
5+ years of experience using data to facilitate business decisions; high growth, technology (B2B SaaS is a plus), management consulting, Big4 Accounting, or business intelligence background preferred
Excellent Excel and SQL skills with development experience in Python
Inherently curious and believe in the power of data to drive decisions
Strong communication and organization skills
Self-driven with the ability to work in a self-guided manner",4.7,"Zoom Video Communications
4.7","San Jose, CA","San Jose, CA",1001 to 5000 employees,2011,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
5,Data Scientist,$212K-$332K (Glassdoor Est.),"About Netskope

Today, there's more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.

Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive. Visit us at netskope.com/company/careers and follow us on Twitter @Netskope and Facebook.

Data Scientist


Within Netskope Engineering, the Security Services organization is responsible for building core security products and features, such as Data Loss Prevention, Malware and Threat Prevention, Cloud Confidence Index, Breach and Anomaly Detection. We apply Artificial Intelligence and Machine Learning technologies across Netskope cloud security platform. We are looking for talented data scientists with security domain knowledge. A successful candidate has deep technical expertise in applying AI/ML technologies in security applications and/or adjacent domains, ideally has been through the entire lifecycle of an award winning security product, and must be passionate about cloud security. You will have the opportunity to work with a team of talented engineers, researchers and data scientists to solve the most challenging cloud security problems.

Responsibilities:
Identify strong AI/ML use cases in cloud security, data security and adjacent domains, leveraging Netskope's rich set of data sources;
Define scalable data acquisition and labeling strategy for specific use cases;
Work with data engineers to retrieve, clean and normalize data. Ensure scalable and continuous high-quality data stream;
Work closely with threat research and development team in feature engineering. Make sure high-quality feature sets are chosen in a systematic way;
Select ML models for defined use cases. Implement KPIs to ensure optimal algorithms and results;
Conduct strict internal testing to ensure high efficacy, low false positive and false negative rate;
Interpret results and communicate findings;
Document use case, data acquisition, feature engineering, training, validation, deployment, future improvement opportunity and other important aspects;
Work closely with development and QE team in productization;
Be an evangelist of AI/ML within Netskope. Promote AI/ML wherever applicable, beyond security use cases;
Collaborate with data analytics team to define new platform requirements and continuously improve our horizontally scalable data lake.
Qualifications/Requirements:


First of all, must have true startup spirit. Be willing to wear multiple hats and deliver end-to-end;
Ability of thinking out-of-box and evaluating results based on customer value;
5+ years of industry experience in applying AI/ML, preferably on well-known security products or services, such as malware detection, anomaly detection, security analytics and data security;
Experience of applying AI/ML in more than one domains highly desirable;
Hands-on experience with relevant technology stacks such as CUDA, Python, R, Spark, Flink, Tensorflow;
Hands-on experience using modern big data pipeline;
Natural language process (NLP) and data mining experience highly desirable;
Security research experience and strong security domain knowledge highly desirable;
Energetic self-starter, with the desire to work in a dynamic fast-paced environment;
Excellent verbal and written communication skills;
Ability to influence without authority
Education:


PhD in Computer Science, Statistics, Electrical Engineering or equivalent technical degree.
#LI-NW1",4.3,"Netskope
4.3","Santa Clara, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock"
6,Data Scientist,$212K-$332K (Glassdoor Est.),"At Waymo, we're focused on bringing self-driving technology to the world. Our mission is to make it safe and easy for people and things to move around. Today, our driverless cars are serving our first customers with no drivers behind the wheel. To experience our self-driving technology, see this 360-degree video.

In this data science role, you will:
Safety evaluation is of fundamental importance to Waymo, and measuring it is subtle. This role works with a wide variety of teams across the company (onboard software engineering, product, safety, systems engineering) to evaluate the driving and safety performance of Waymo's self driving car. This is based on a wide variety of data from real and simulated driving from Waymo's self-driving system as well as from external data sources.
The Planner Team is responsible for ""motion planning"" for the self driving car. This includes gracefully handling many complex situations involving social interactions (merging, negotiating narrow roads, etc), while dealing with a noisy and uncertain environment. Evaluation of this onboard decision-making system is a complex, open-ended problem with tremendous potential impact. The quality of the road maneuvers we execute is subjective, contextual, and geometrically subtle, and evaluation needs apply to a wide variety of conditions with an extremely long tail.
Additionally:
Analysis and improvement of existing data sources and metrics
Development of novel approaches to measuring and improving
Self-driving performance (either generally, or for motion planning specifically)
Collaborate with engineers and other data scientists to evaluate and improve core
Waymo technologies, with a focus on bringing statistical depth, general analytical rigor, and accurate causal interpretation of data.
We'd like you to have:
PhD in statistics, math, or other quantitative area
Progressive statistics background either in academia or industry
Data science and system evaluation experience
Willingness to understand a complex system and its various components
Experience with tools for manipulating big data
Experience with R/Python and statistical libraries
It's preferred if you have experience in:
Experience with C++
Familiarity with Spark/MapReduce
Training or interest in geometry or classical physics",3.1,"Waymo
3.1","Mountain View, CA","Mountain View, CA",Unknown,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
7,"Data Scientist, Operations Data Science",$212K-$332K (Glassdoor Est.),"Minimum qualifications:
Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)
Preferred qualifications:
PhD in Operations Research, Industrial Engineering, Statistics or related field.
4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.
Experience designing and building statistical forecasting models.
Experience designing and building machine learning models.
Excellent problem-framing, problem-solving and project management skills.
Excellent customer service and team collaboration skills.
About the job


At Google, data drives all of our decision-making. Data Scientists work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.

As a member of the Operations Data Science team, you will apply operations research and statistical methods to solve challenges related to compute, storage, network, and datacenter capacity for both Google’s internal services and Google Cloud Platform. You will work broadly across Google’s Platforms Engineering, Systems Infrastructure, and Site Reliability Engineering teams to optimize our deployment of resources and drive innovation in our software stack, allowing for efficient use of resources.

As a Data Scientist, you will think critically and strategically about Google’s cloud as a technology, a business, and as an operation. You will be comfortable discussing total cost of management with hardware engineers, resource optimization with software engineers, or reviewing fleet plans and deployment policies with operations executives, all based upon the analytical models that you will be developing.

Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.
Responsibilities
Lead projects with hands-on analysis and modeling, drawing from multiple of analytical methods to choose the right tool and right level of complexity appropriate for the business challenges.
Engage broadly with the organization to identify, prioritize, frame, and structure complex and ambiguous challenges, where advanced analytics projects or tools can have the biggest impact.
Identify and communicate the challenges and opportunities that the group should be working on.
Help define the analytical direction and influence the direction of the associated engineering and infrastructure work.
Articulate business questions and use mathematical techniques to arrive at an answer using data. Translate analysis results into business recommendations.

At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.4,"Google
4.4","Mountain View, CA","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Microsoft, Apple, Facebook"
8,"Behavioral Data Scientist, Health Strategic Initiatives",$212K-$332K (Glassdoor Est.),"Posted: Apr 17, 2020
Weekly Hours: 40
Role Number:
200164602
Have you ever wanted to work on something that really matters? Is it important to you to help others live longer, more fulfilling lives? The Health Strategic Initiatives team is focused on just that — enabling individuals to live a healthier, happier life through personalized and compelling products. We are an experienced team of business leaders, doctors, designers, PMs, and data scientists. We work in a collaborative and dynamic environment where we are constantly pushing ourselves to redefine the industry and create delightful user experiences.

Data is central to the success of our team. We work in a tight feedback loop where data insights drive feature development and design as well as defining future strategy and products. As a behavioral data scientist on the team you will explore behavior change, causal impact of product features on outcomes, incentives, and other behavior related questions across the various programs we have launched.
Key Qualifications
5+ years as an analyst or data scientist working in the behavioral science space
Expertise working in Hadoop, Spark, SQL, Python or R
Strong product, data, and analytics intuition
Intensely curious about data and love finding hidden relationships and patterns
Passionate about health, behavioral economics, behavior change, and causal methods
Strong cross-functional experience working with product, business, design, and engineering teams
Strong interpersonal skills
Proven experience boiling down technical approaches and complex findings into simple and compelling narratives that drive change
Description
As a key member of the Health Strategic Initiatives team you will work hand in hand with product and design teams testing hypotheses by diving into consumer and product data. You will have the opportunity to work on a wide variety of fascinating problems. A few areas you may explore include measuring behavior change, quantifying the impact of incentives, exploring the impact of features on consumer behavior, experimental design and causal analysis, predicting outcomes, and cohort analysis. This is the perfect intersection of analytics, health, and behavior change.
Education & Experience
Masters (PhD preferred) in Economics, Neuroscience, Psychology, Statistics, Computer Science, Mathematics, Engineering or equivalent and 5+ years of experience",4.1,"Apple
4.1","Santa Clara, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,₹500+ billion (INR),"Google, Microsoft, Samsung Electronics"
9,"Data Scientist, Analytics",$212K-$332K (Glassdoor Est.),"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Were looking for Data Scientists to work on our core and business products (ex. Instagram, Messaging, Growth, Engagement, Ads) to help shape the future of what we build at Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:

Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products
Partner with Product and Engineering teams to solve problems and identify trends and opportunities
Inform, influence, support, and execute our product decisions and product launches
The Data Scientist Analytics role has work across the following four areas:
Product Operations: Forecasting and setting product team goals, designing and evaluating experiments, monitoring key product metrics, understanding root causes of changes in metrics, building and analyzing dashboards and reports, building key data sets to empower operational and exploratory analysis, and evaluating and defining metrics
Exploratory Analysis: proposing what to build in the next roadmap, understanding ecosystems, user behaviors, and long-term trends, identifying new levers to help move key metric, and building models of user behaviors for analysis or to power production systems
Product Leadership: influencing product teams through presentation of data-based recommendations, communicating state of business, experiment results, etc. to product teams and spreading best practices to analytics and product teams
Data Infrastructure: working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica, and automating analyses and authoring pipelines via SQL and Python based ETL framework
Mininum Qualifications:

2+ years experience doing quantitative analysis within a large-scale company or fast-paced environment
BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical field
Experience in SQL or other programming languages
Development experience in any scripting language (PHP, Python, Perl, etc.)
Experience communicating the results of analyses with product and leadership teams to influence the strategy of the product
Knowledge of statistics (e.g. hypothesis testing, regressions)
Experience manipulating data sets through statistical software (e.g. R, SAS) or other methods
Preferred Qualifications:

Advanced degrees
Experience with distributed computing (Hive/Hadoop)
Experience working within the tech sector preferred
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.

Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.4,"Facebook
4.4","Menlo Park, CA","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Apple"
