,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Associate Data Scientist,$88K-$99K (Glassdoor Est.),"Puget Sound Energy is looking to grow our community with like-minded, top talented individuals like you! With our rapidly growing, award winning energy efficiency programs, our pathway to an exciting and innovative future is now.

PSE's IT Application Solutions team is looking for qualified candidates to fill an open Associate Data Scientist position!
Job Description
Puget Sound Energy is an electric and gas utility which provides homes and businesses throughout the Northwest. In order to meet and anticipate our customers’ needs, our Data Services team is expanding its team to include machine learning and data science technologies. In order to accomplish this we have an urgent need for an experienced Associate Data Scientist to work in our analytical Community of Practice, document internal standards, and to support our functional business areas.
Job Responsibilities
In addition to leading the development of our community, the Associate Data Scientist will be responsible for assisting with the design and development of an advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sources, and is capable of learning, assisting and taking the initiative on various data modeling and analytical projects.

These efforts may include the development of:
Processes and data models that balance human judgment with machine intelligence
Machine learning models to classify content in documents
Proprietary document parsing and information extraction tools
Data models and queries to organize and offer insights for users to help them understand
Training models to guide other Community of Practice colleagues
Data quality, cleansing and preparation of large structured, semi-structured or unstructured datasets for other groups’ use
Standards and Best Practice development
Minimum Qualifications
Bachelor’s degree in Computer Science, Industrial Engineering, Business Administration or equivalent hands-on experience.
General IT experience: 6+ years IT experience, including several years of systems development experience in the design and development of department-wide or enterprise-wide applications.
Detailed understanding and 5+ years programming languages (specialized technical requirements as shown in attachment) and strong knowledge of office applications (e.g. Microsoft Office).
Possesses full technical knowledge of phases of software development life cycle.
Experience with at least two full life cycle implementations of a new application or purchased application.
Extensive knowledge of multiple languages, i.e (specialized technical requirements as shown in attachment) environment, active business processes, business areas, as well as industry.
Knowledge of systems and/or business analysis design concepts. Demonstrated proficiency in the applied use of systems and process analysis tools. Full system life cycle experience, including development lifecycle methodologies.
Demonstrated understanding of Structured Query Language (SQL).
Ability to facilitate interactive design and functional specification sessions.
Highly developed interpersonal, written and verbal skills with an ability to express complex technical concepts in business terms. Excellent technical writing and system documentation skills.
Strong analytical problem-solving, and conceptual skills.
Demonstrated project management skills for moderate sized projects.
Must be a “team player” able to work with management in developing and implementing new processes and enabling systems. Able to work with end user groups to define application needs and identify feasible solutions.
Proactive, self-motivated with the ability to motivate others and a customer-focused service attitude.
Good organizational skills, with the ability to meet objectives and effectively multi-task.
Ability to work with multiple levels of the organization, both technical and non-technical.
Desired Qualifications
3 Years of hands-on data science experience
Experience using source control tools like Git or Subversion
Experience with developing analytical models within and across multiple data domains
Proficient analytical and math background
Demonstrated success in performing within a functional organizational environment
Innovative mindset-thinks beyond the status quo
Knowledge of OCR, Spark, Hadoop, H20 and/or cloud computing are preferred
Tools like workflow Sketch Agenda (SKs) sheets and examples of risk mitigation

Families and businesses depend on PSE to provide the energy they need to pursue their dreams. Our steadfast commitment to serving Washington communities with safe, dependable and efficient energy started in 1873. Today we're building the Northwest's energy future through efforts like our award winning energy efficiency programs and our leadership in renewable energy.

At PSE we value and respect our employees and provide them opportunities to excel. We offer an expansive pay package that includes competitive compensation, annual goals-based incentive bonuses, comprehensive benefits, 401(K), a company paid retirement pension plan, and an employee assistance and wellness program.

Puget Sound Energy is committed to providing equal employment opportunity to all qualified applicants. We do not discriminate on the basis of race, color, religion, sex, national origin, age, sexual orientation, gender identity, marital status, veteran status or presence of a disability that with or without reasonable accommodation does not prevent performance of the essential functions of the job. Should you have a disability that requires assistance and/or reasonable accommodation with the job application process, please contact the Human Resources Staffing department at jobs@pse.com or 425-462-3017.

Nearest Major Market: Seattle
Nearest Secondary Market: Bellevue",3.4,"Puget Sound Energy
3.4","Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",₹100 to ₹500 billion (INR),-1
1,"Data Scientist, Engineering",$88K-$99K (Glassdoor Est.),"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA

Minimum qualifications:
Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience.
2 years of work experience in data analysis related field.
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)
Preferred qualifications:
PhD degree in a quantitative discipline.
4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
Applied experience with machine learning on large datasets.
Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.
Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.
Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.
About the job


As a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring scientific rigor and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.

At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",4.4,"Google
4.4","Seattle, WA","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Microsoft, Apple, Facebook"
2,Data Scientist - Deep Learning,$88K-$99K (Glassdoor Est.),"Position Overview

The Climate Corporation’s mission is to help the world’s farmers sustainably increase their productivity with digital tools. The Data and Analytics team is focused on creating competitive advantage for The Climate Corporation and our customers through novel data infrastructure, metrics, insights, and data services. We are a small but rapidly growing data science and engineering team that builds and leverages state-of-the-art analytics systems. Our work informs decisions and direction for our business, while also impacting our products. Data Scientists at The Climate Corporation build predictive and prescriptive models to deliver insights to farmers. In order to take advantage of increasing amounts of agricultural and environmental data, we are hiring new data scientists to drive the research and development of scalable machine learning models. In this role, your work will broadly influence the company's data and products.

What You Will Do:
Build and implement state-of-the-art machine learning and deep learning systems
Help to define the infrastructure required to train models at scale
Work with data engineers to build real time and offline features and maintain the datasets from which models are created
Partner with scientists and product experts in the R&D organization to build scalable models that support our suite of decision support services
Help to assess new technologies for data scientists at The Climate Corporation
Basic Qualifications:
B.Sc. in Statistics, Mathematics, Computer Science or other relevant technical field
Either minimum two years of experience in applying statistical/machine learning solutions on a scalable platform to real-world applications, or M.A. or M.Sc. in machine learning, statistics, applied mathematics, or an equivalent technical field
Fully proficient in Python (including PySpark)
Experience with at least one Deep Learning framework, including Tensorflow and/or Torch/Pytorch
Strong software engineering fundamentals
Preferred Qualifications:
Ph.D. in machine learning, statistics, applied mathematics or other relevant technical field
Experience building distributed systems and/or scalable backend systems with the ability to maintain in production
Proficiency in developing performant large-scale queries using SQL, Hive or Pig
Experience with a cloud platform such as AWS
Proficiency with SQL, R, Scala
Experience working with Engineering and Product organizations using an Agile development process
What We Offer:

Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.

We provide competitive salaries and some of the best perks in the industry, including:
Superb medical, dental, vision, life, disability benefits, and a 401k matching program
A stocked kitchen with a large assortment of snacks & drinks to get you through the day
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development
We also hinge our cultural DNA on these five values:
Inspire one another
Innovate in all we do
Leave a mark on the world
Find the possible in the impossible
Be direct and transparent
Learn more about our team and our mission:

The Climate Corporation - The Technology Behind Making A Difference

https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers

Climate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.

As part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com.",3.2,"The Climate Corporation
3.2","Seattle, WA","San Francisco, CA",501 to 1000 employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Granular, Intuit, John Deere"
3,Data Scientist in Artificial Intelligence - Early Career,$88K-$99K (Glassdoor Est.),"*Organization and Job ID**
Job ID: 310862

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Data Sciences and Analytics
*Job Description**
Do you want to create a legacy of meaningful research for the greater good? Do you want to lead and contribute to work in support of an organization that addresses some of todays most challenging problems that face our Nation? Then join us in the Data Sciences and Analytics Group at the Pacific Northwest National Laboratory (PNNL)!

For more than 50 years, PNNL has advanced the frontiers of science and engineering in the service of our nation and the world in the areas of energy, the environment and national security. PNNL is committed to advancing the state-of-the-art in artificial intelligence through applied machine learning and deep learning to support scientific discovery and our sponsors missions. Help us advance this frontier and protect our nation!

Data science at the Pacific Northwest National Laboratory (PNNL) addresses critical national and global issues by applying scientific and mathematical techniques to multiple data sources and communicating the finding to our sponsors and the academic community. This position requires thought leadership and technical depth to support the sponsors of PNNLs National Security Directorate in the development and advancement of data science and deep learning research. Research of interest includes the development, implementation, and resulting analyses related to quantitative social science, human language technologies, computer vision, real-time streaming algorithms, national security, disaster response and recovery, health security, image/video understanding and other related fields.

The data scientist in applied machine learning should have the following attributes:

+ Familiar with existing deep learning libraries (e.g., TensorFlow, PyTorch, Caffe2) and machine learning packages (i.e. sklearn)

+ Experience applying machine learning to domain specific applications, such as geospatial intelligence, natural language processing, behavioral modeling, social computing, time series prediction, computer vision, etc.

+ Ability to contribute that knowledge to the academic and research strength of PNNL and have experience writing scientific publications demonstrating their insight and discovery.

This position will require interactions with Government, military, and industry officials nationwide for a variety of programs, projects, and tasks, including technical and programmatic concept development, planning, coordination, integration, and execution that can be supported by data science and deep learning techniques.
*Minimum Qualifications**
+ Bachelor's with 0-1 years' experience or a Master's degree with 0 years' experience is required.
*Preferred Qualifications**
+ Active Federal Q Clearance and ability to maintain such clearance.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
This position requires the ability to obtain and maintain a federal security clearance.

Requirements:
U.S. Citizenship
Background Investigation: Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements for access to classified matter in accordance 10 CFR 710, Appendix B.
Drug Testing: All Security Clearance (L or Q) positions will be considered by the Department of Energy to be Testing Designated Positions which means that they are subject to applicant, random, and for cause drug testing. In addition, applicants must be able to demonstrate non-use of illegal drugs, including marijuana, for the 12 consecutive months preceding completion of the requisite Questionnaire for National Security Positions (QNSP).
Note: Applicants will be considered ineligible for security clearance processing by the U.S. Department of Energy until non-use of illegal drugs, including marijuana, for 12 consecutive months can be demonstrated.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Data Sciences & Analytics_

_Opening Date:_ _2020-05-13_

_Closing Date:_ _2020-05-27_",3.8,"PNNL
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",₹50 to ₹100 billion (INR),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
4,Data Scientist,$88K-$99K (Glassdoor Est.),"ESSENTIAL FUNCTIONS

Apply state of the art machine learning knowledge to the health care domain to identify solutions to healthcare problems.

Work with large data sets, integrate diverse data sources, data types and data structures into the solution.

Develop analytical approaches to meet business requirements; this involves translating requests into use cases, test cases, preparation n of training data sets and iterative algorithm development.

Collaborate with various stakeholders such as Doctors, Nurses, Business Consultants, Product Management, and Clients on the formulation and application of new modeling solutions for a variety of healthcare related problems.

Take initiative to find solutions to problems that are impediments to health systems.

Engage in deep research and identify new predictive modeling techniques as appropriate for a specific solution

Present research results as well as recommendations internally as well as to customers.

Be a part of the team that presents KenScis research at leading conferences and academic sessions.

Performs exploratory data analysis to gauge the need for or appropriateness of advanced analytical methods.

All data science tasks involved in successful deployment at customer site including data transformations, operationalizing predictive models, dashboard creation, adhoc analysis etc.

Contribute to data science tasks for some pilot engagements that involve data analysis and predictive modeling.

Implementing end to end machine learning solution to predict readmission risks and expected length of stay of hospital admissions for a major health care provider.

Processing, cleansing, and verifying the integrity of data used for analysis.

Enhancing data collection procedures to include information that is relevant for building analytic systems.

Data mining using state-of-the-art methods.

Must Have:

Masters Degree or Foreign Equivalent in Computer Science, Computer Applications, Computer Engineering or Mathematics and 1-year experience as Software Engineer.

1 year of experience as Software Engineer and Experience must include the following:

Tools & Technologies:

Strong Knowledge in following tools:Java,
jQuery,
JSON,
CSS
SQL, HTML, XML and Python.

Experience in developing Linux based applications.
Understanding of software development life cycle
Excellent understanding of machine learning concepts and techniques.

Strong cross discipline communication skills.

Please send resumes to KenSci Inc., Attn: Mandy Nicholson/Job Code DS-01, 506 2nd Ave, Suite 2100, Seattle, WA 98104. Work location: Seattle, WA. If submitting your application electronically, please email to mandy@kensci.com and mention the name of the position and the job code.",4.8,"Kensci Inc
4.8","Seattle, WA","Seattle, WA",1 to 50 employees,2015,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
5,Python Data Scientist,$88K-$99K (Glassdoor Est.),"Job Description
Title: Python Data Scientist

Location: Seattle, WA

Date Posted: March 2020

Reports to: TBD

Position Summary

We are looking for a motivated early to mid-career Python Data Scientist to join our team. It is an excellent opportunity to use your scientific Python knowledge to help shape the future of Raman spectroscopy data analysis and bring innovative solutions to the field of chemical measurement. As a Python data engineer, you would be developing, documenting and maintaining the code base required to acquire, store, analyze and visualize Raman spectroscopy data in both local and distributed environments. Knowledge in spectroscopy and optics is highly valued but not required.

Key Areas of Responsibilities

· Contribute to MarqMetrix Python code base.

· Assist with code management, packaging, and deployment

· Develop and maintain ETL pipelines for manufacturing and quality control data.

· Perform exploratory analytics and visualization on internal and customer data.

· Identify and implement internal process improvements related to data acquisition, analysis and storage.

· Collaborate with domain experts and software engineers on various research and development projects.

Qualifications & Requirements

· Master's or Bachelor's degree in Computer Science or another STEM discipline.

· Strong understanding of data structures, analytics algorithms, and code lifecycle management.

· Excellent written and verbal communication skills.

· 1+ year professional experience in Python Required.

· Experience working with scientific Python packages (e.g., NumPy, Pandas, etc.).

· Analytical mindset.

· Interest in data analytics and willingness to learn new technologies.

Preferred Qualifications

· Experience with Jupyter and Matplotlib

· Proficiency with NumPy, Pandas, and other scientific Python packages

· Experience developing and deploying pipelined analysis (TensorFlow, Scikit-Learn, or PyTorch solutions)

· Experience with version control (Git), code packaging (wheels), and package management (Conda) systems and integration into deployment tools for multiple environments

· Experience with multivariate data techniques of machine learning, classification and regression modeling, and data visualization

· Knowledge of SQL and Cosmo database use

· Understanding of basic statistics

· Knowledge of PowerBI, Tableau, or other reporting/visualization tools

· Interest in cloud technologies with Azure implementations

· General knowledge/interest of engineering, chemistry or optics a plus

Candidates that thrive at MarqMetrix possess the following characteristics:

· A “can-do”, positive attitude.

· Adaptable. Thrives in a dynamic, rapidly changing, high growth environment.

· Strong customer service orientation with a high standard of excellence.

· Self-motivated, inherently curious and driven to achieve.

· Equally effective working in a team or independently.

MarqMetrix offers a diverse, team oriented working environment and the opportunity to work with exceptional, dedicated industry professionals. MarqMetrix is adjacent to Gas Works Park on the north shore of Lake Union with sweeping views of downtown Seattle. Direct access to the Burke-Gilman trail and onsite showers are perfect for those who enjoy biking or running. MarqMetrix is located in the Fremont neighborhood with close access to shopping and restaurants.

MarqMetrix provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Company Description
MarqMetrix is a high growth company developing state-of-the-art optical measurement systems. Our world class solutions provide access to accurate, repeatable data at key measurement points throughout multiple research and industrial processes – generating significant value for our partners. Our innovative products and solutions are fundamentally changing the way businesses make decisions.

MarqMetrix’s core areas of focus include:

· Raman spectroscopy and optical measurement systems for process improvement

· Design and development of optical sensors

· Development of data analysis and cloud-based systems for real-time monitoring and control

MarqMetrix was founded in 2012 and is based in Seattle, WA. The company is currently working with global, market leading brands representing the oil and gas, biotech and pharmaceutical industries, among others. Please see www.marqmetrix.com for more information.",5.0,"Marqmetrix
5.0","Seattle, WA","Seattle, WA",1 to 50 employees,2012,Company - Private,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
6,Data Scientist,$88K-$99K (Glassdoor Est.),"About Snowflake Snowflake is growing fast and we're scaling our team to help enable and accelerate our growth. We're passionate about our people, our customers, our values and our culture! We're also looking for people with a growth mindset and the pragmatic insight to solve for today while building for the future. And as a Snowflake employee, you will be accountable for supporting and enabling diversity and belonging. Snowflake started with a clear vision: make modern data warehousing effective, affordable, and accessible to all data users. Because traditional on-premises and cloud solutions struggle with this, Snowflake developed an innovative product with a new built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. We're looking for a talented Product Analyst to come aboard. In this role, you will work closely with our Product and Engineering teams to uncover insights about how customers use Snowflake, helping to inform Product's decision making and focus Engineering efforts. You will also work on long-running analytical initiatives marked by greater complexity and less structure that will yield substantial product enhancements. This is a strategic, high-impact role that will help shape the future of Snowflake products and a Data Scientist at Snowflake you will:
Sleuth through large amounts of data to uncover feature-usage patterns, subtle issues with the system, potential performance enhancements, and areas to improve user experience.
Collaborate closely with Engineers and Product Managers to inform product decision making with data and to identify opportunities to create more value for our customers.
Build dashboards to help Engineering and Product Managers monitor performance and availability of our system.
Answer questions from executive team for board reporting, publications, and industry reports.
Think creatively to find optimal solutions to our complex, often unstructured problems.Our ideal candidate will have:
BS/MS in quantitative discipline (Math, Statistics, Operations Research, Economics, Engineering, or CS)
Expert-level experience working with SQL and relational data (3+ years on a regular basis).
3+ years of experience with Python, including scikit-learn, numpy, and pandas.
Experience working with large-scale machine generated data (e.g., log, application, or customer-usage data).
Hands-on experience with MPP databases, such as Snowflake, Redshift, BigQuery, Vertica, etc.
Ability to clearly present learnings to business leaders and technical stakeholders.
The ability to thrive in a dynamic environment. That means being flexible and willing to jump in and do whatever it takes to be successful. Snowflake is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, color, gender identity or expression, marital status, national origin, disability, protected veteran status, race, religion, pregnancy, sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.",4.0,"Snowflake Computing
4.0","Bellevue, WA","San Mateo, CA",1001 to 5000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Amazon, Google, Microsoft"
7,Data Scientist (REMOTE),$88K-$99K (Glassdoor Est.),"We are looking for an experienced Data Scientist, who has previously supported Healthcare software applications. The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical methods, & knowledge.",3.2,"Waystar
3.2","Seattle, WA","Duluth, GA",501 to 1000 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
8,Data Scientist (REMOTE),$88K-$99K (Glassdoor Est.),"SemanticBits is looking for a Data Scientist eager to use advanced analytical and data transformation techniques as a means to develop practical tools and analyses that can help solve complex business problems; transforming volumes of data into actionable information. This position is open to a mid-level to principal professional depending on experience.

Responsibilities:
Strong grasp of statistics, programming, and modeling techniques (machine learning, classification, cluster analysis, data mining, databases, and visualization)
Solid experience with Python and/or R and common data science packages - e.g. pandas, scikit-learn, matplotlib, ggplot, plyr, etc.
Dataset parsing, dataset merging, dataset analysis, dataset synthesis
Familiarity with controlled vocabularies (e.g. UMLS, SNOMED, etc.)
Strong knowledge of databases (relational, OLAP, and NoSQL)
Experience with Medicare claims is highly desirable
Experience with the following technologies is also highly desirable: Jupyter, Apache Superset, Spark, Hadoop, Tableau, Looker, Dremio, AWS cloud computing
Experience in the healthcare domain, or with quality data sets is highly desirable
Strong technical communication skills; both written and verbalAbility to understand and articulate the “big picture” and simplify complex ideas
Strong problem solving and structuring skills
Ability to identify and learn applicable new techniques independently as needed
Requirements:
Bachelor's degree with quantitative focus in Econometrics, Statistics, Operations Research, Computer Science or a related field and a minimum of four years of relevant experience or a Master’s degree with a minimum of two years experience
Candidate must reside in the United States
Flexible and willing to accept a change in priorities as necessary
Nice to have:
Experience working in the healthcare industry
Federal Government contracting work experience
Prior experience working remotely full-time
Physical and emotional requirements for the job:
This position is to be performed remotely from an individual’s home office and involves sedentary work. Employees in this role can be expected to exert up to 10 pounds of force on occasion in order to lift, carry, push, pull or otherwise move standard electronic equipment. Employees are expected to make decisions in a timely manner and display emotional intelligence during occasional stressful situations.
Benefits
Competitive base salary
Three weeks of PTO
Ten paid holiday days
Comprehensive health benefits (medical with HSA option, dental, and vision)
401k retirement plan with matching benefit
100% paid short-term and long-term disability
100% paid life insurance
Flexible Spending Accounts (FSA)
Casual working environment
Flexible working hours

SemanticBits, LLC is an equal opportunity, affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristic protected by law. We are also a veteran-friendly employer.

If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact 703-787-9656 x257 or HR@semanticbits.com for assistance.",4.6,"SemanticBits
4.6","Seattle, WA","Herndon, VA",51 to 200 employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹500 million to ₹1 billion (INR),-1
9,DATA SCIENTIST,$88K-$99K (Glassdoor Est.),"DATA SCIENTIST
Req #: 179274
Department: EARTHLAB
Job Location: Seattle Campus
Posting Date: 05/14/2020
Closing Info: Open Until Filled
Salary: Salary is commensurate with education and experience.
Shift: First Shift
As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.

UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for six consecutive years.

EarthLab has an outstanding opportunity for a Data Scientist for research on outdoor recreation and nature-based tourism. The employee will join a team of researchers and practitioners who develop novel methods and information to inform public land management and improve opportunities for outdoor recreation. The successful candidate will advance methods that mix traditional survey methods with data from citizen science and social media to more effectively measure park use and generate fine-scale maps of where and how people recreate. The Data Scientist will be responsible for developing, improving, and maintaining existing workflows for managing these various data streams. They will also be involved in many aspects of data management, analysis, and visualization. The successful candidate will be an organized, friendly, self-directed individual who is passionate about working on collaborative projects for social good.

EarthLab is a new initiative at the University of Washington seeking to link and apply the amazing environmental research happening at the UW with decision makers working on solutions to environmental challenges. Stewarded by the College of the Environment, EarthLab supports application-focused interdisciplinary collaboration across and beyond the University of Washington. EarthLab focuses on addressing our world’s most pressing environmental challenges – catalyzing collaborations with partners across the private, public, and non-profit sectors. By linking knowledge and action to accomplish meaningful change, EarthLab will help develop lasting solutions that are scientifically sound, technically feasible, and economically viable, while promoting equity and justice.

EarthLab and the University of Washington (UW) are committed to developing a diverse and culturally aware workplace, and the promotion of diversity and inclusivity among our students, faculty, staff, and public. Thus, we are strongly seeking candidates whose experiences have prepared them to fulfill our commitment to inclusion and have given them the confidence to fully engage audiences from a wide spectrum of backgrounds. The UW is located in the greater Seattle metropolitan area, with a dynamic, multicultural community of 3.7 million people and a range of ecosystems from mountains to ocean. The UW serves a diverse population of 80,000 students, faculty and staff, including 25% first-generation college students and faculty from over 70 countries. Over 25% of UW students receive need-based federal financial aid.

Responsibilities include:
•Develop and maintain software and scripted workflows that ingest, store, manipulate, and output data on park use from on-site surveys, social media platforms, and crowd-sourced text messages.
•Work closely and collaboratively with other team members to assist with data management and analysis tasks.
•Create maps and figures for visualizing raw data and model results in publications and interactive dashboards.
•Contribute to reports and manuscripts summarizing methods and major findings
•Communicate with project partners about opportunities to improve decision-making and deepen the understanding of the recreational value of public lands.

As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.

To apply, please submit a resume and cover letter describing your interests in the project.
For more information, email Spencer Wood (spwood@uw.edu).

Requirements
•Bachelor’s degree in any field, with coursework in natural or social sciences
•At least three months of job-related experience
•Excellent organizational, leadership, teamwork, and communication skills
•Demonstrated success using coding languages such as python and R

Equivalent education/experience will substitute for all minimum qualifications except where there are legal requirements such as license/certification/registration.

Desired
•Interest in outdoor recreation and public land management
•Experience managing large and varied sources of data, and ability to think critically about the larger organizational structure
•Demonstrated experience with open-source software projects, version control, and linux
•Demonstrated experience developing applications with JavaScript (node.js and vue framework), Leaflet, and Flask
•Experience deploying virtual machines and Docker containers
•Experience with GIS principles and software
•Ability to manage large volumes of data and perform statistical analyses

Application Process:
The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Workforce Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.

The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.

The University of Washington is an equal opportunity, affirmative action employer.
To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu.
Apply for this job",4.1,"University of Washington
4.1","Seattle, WA","Seattle, WA",10000+ employees,1861,College / University,Colleges & Universities,Education,₹100 to ₹500 billion (INR),-1
